idno,author-short,title-short,year,country,narrative-perspective,subgenre-theme,subgenre-current,subgenre-novela,tokens
nh0002,PayroR,Moreira,1910,Argentina,autodiegetic,novela política,novela realista,none,98903
nh0005,AltamiranoIM,Navidad,1871,Mexico,autodiegetic,novela de costumbres,other,none,17404
nh0006,AltamiranoIM,Clemencia,1869,Mexico,homodiegetic,novela sentimental,other,none,50806
nh0007,AltamiranoIM,Zarco,1901,Mexico,heterodiegetic,novela histórica,other,none,50965
nh0008,RivarolaEE,AmarVuelo,1884,Argentina,heterodiegetic,novela de costumbres,novela realista,none,41611
nh0010,MezaR,TioEmpleado,1887,Cuba,homodiegetic,novela de costumbres,novela realista,novela,93573
nh0015,SaladoAlvarezV,Puebla,1903,Mexico,heterodiegetic,novela histórica,novela realista,none,90242
nh0021,OcantosCM,CruzFalta,1883,Argentina,heterodiegetic,novela sentimental,other,none,39814
nh0023,RabasaE,Bola,1887,Mexico,autodiegetic,novela política,novela realista,novela,38681
nh0027,LopezLV,GranAldea,1884,Argentina,autodiegetic,novela de costumbres,novela realista,none,50497
nh0035,LopezVF,NoviaDelHereje,1855,Argentina,heterodiegetic,novela histórica,other,none,140319
nh0036,LopezPortilloJ,Parcela,1898,Mexico,heterodiegetic,novela de costumbres,novela realista,novela,90800
nh0041,GorritiJM,Yocci,1876,Argentina,heterodiegetic,novela histórica,other,none,19643
nh0043,GorritiJM,JuezVerdugo,1876,Argentina,heterodiegetic,novela sentimental,other,none,19791
nh0044,CastellanosJ,Conjura,1909,Cuba,heterodiegetic,novela social,novela realista,novela,22991
nh0046,OcantosCM,Promision,1897,Argentina,heterodiegetic,novela social,novela realista,novela,65026
nh0047,OcantosCM,Quilito,1891,Argentina,heterodiegetic,novela social,novela realista,none,83234
nh0048,OcantosCM,Perfecto,1902,Argentina,autodiegetic,novela de costumbres,novela realista,novela,64894
nh0052,DelgadoR,ParientesRicos,1901,Mexico,heterodiegetic,novela social,novela realista,none,105418
nh0058,DominguezS,Palomas,1886,Argentina,heterodiegetic,novela social,other,none,37027
nh0062,CantiloJM,Quillango,1880,Argentina,heterodiegetic,novela de costumbres,novela realista,none,17162
nh0064,DiazCovarrubiasJ,Gomez,1858,Mexico,heterodiegetic,novela histórica,other,novela,81575
nh0067,FriasH,UltimoDuelo,1896,Mexico,heterodiegetic,novela social,novela realista,novela,51837
nh0068,DelgadoR,Calandria,1890,Mexico,heterodiegetic,novela sentimental,novela realista,novela,89456
nh0071,MezaR,UltimasPaginas,1891,Cuba,heterodiegetic,novela de costumbres,other,novela,36132
nh0075,DelgadoR,HistoriaVulgar,1904,Mexico,heterodiegetic,novela social,novela realista,none,23172
nh0080,GamboaF,Santa,1903,Mexico,heterodiegetic,novela social,other,none,98005
nh0085,SierraOReillyJ,AnoHospital,1841,Mexico,autodiegetic,novela psicológica,other,novela,133942
nh0088,MoranteP,Grandezas,1896,Argentina,heterodiegetic,novela social,other,novela,56661
nh0089,DelgadoR,Angelina,1893,Mexico,autodiegetic,novela sentimental,novela realista,novela,89231
nh0111,MateosJA,Insurgentes,1869,Mexico,heterodiegetic,novela histórica,other,novela,148644
nh0122,RivaPalacioV,Muertos,1870,Mexico,heterodiegetic,novela histórica,other,novela,108815
nh0127,OcantosCM,Candidato,1893,Argentina,heterodiegetic,novela política,novela realista,none,72592
nh0131,CuellarJT,BaileCochino,1886,Mexico,heterodiegetic,novela de costumbres,other,novela,34925
nh0133,CampoValleA,Rumba,1891,Mexico,heterodiegetic,novela de costumbres,novela realista,none,33506
