,a casa de,a el cielo,a el de,a el día,a el fin,a el general,a el hombre,a el instante,a el joven,a el lado,a el llegar,a el menos,a el mismo,a el otro,a el oído,a el oír,a el parecer,a el pasar,a el pie,a el principio,a el pueblo,a el punto,a el que,a el señor,a el suelo,a el través,a el ver,a el y,a la cabeza,a la calle,a la casa,a la ciudad,a la de,a la hora,a la joven,a la luz,a la puerta,a la que,a la sala,a la vista,a lo que,a los ojos,a los pies,a los que,a mí me,a que se,a su casa,a su hija,a su hijo,a su lado,a su padre,a su vez,a todos los,a un hombre,a uno de,a ver a,a y a,así es que,cada uno de,cada vez más,casa de el,casa de la,cerca de la,con la mayor,con lo que,con los ojos,con que se,con toda la,de a el,de el alma,de el amor,de el brazo,de el camino,de el cielo,de el conde,de el corazón,de el de,de el día,de el ejército,de el general,de el gobierno,de el hombre,de el joven,de el mismo,de el mundo,de el padre,de el país,de el pueblo,de el que,de el señor,de el sol,de el todo,de el y,de la calle,de la casa,de la ciudad,de la familia,de la joven,de la madre,de la mano,de la misma,de la muerte,de la mujer,de la noche,de la puerta,de la que,de la sala,de la tierra,de la vida,de la y,de lo que,de los dos,de los hombres,de los más,de los que,de manera que,de mi alma,de mi padre,de mi vida,de que el,de que era,de que la,de que no,de que se,de su alma,de su casa,de su corazón,de su hija,de su madre,de su padre,de su vida,de sus ojos,de todas las,de todos los,de un hombre,de un modo,de una manera,de una mujer,de una vez,de y de,de y el,dijo a el,dirigiendo se a,dos o tres,día en que,el alma de,el amor de,el brazo de,el camino de,el centro de,el corazón de,el cuarto de,el cuerpo de,el de el,el de la,el deseo de,el día de,el día en,el día que,el día siguiente,el estado de,el fin de,el fondo de,el hombre que,el jefe de,el lado de,el llegar a,el mismo tiempo,el momento de,el momento en,el mundo y,el nombre de,el objeto de,el padre de,el pie de,el que no,el que se,el recuerdo de,el resto de,el rostro de,el ruido de,el través de,en aquel momento,en casa de,en el acto,en el alma,en el camino,en el campo,en el centro,en el corazón,en el fondo,en el mismo,en el momento,en el mundo,en el que,en el suelo,en este momento,en la cabeza,en la calle,en la casa,en la ciudad,en la mano,en la misma,en la noche,en la puerta,en la que,en la sala,en la tierra,en la vida,en lo que,en nombre de,en que el,en que la,en que se,en su casa,en todas partes,en todos los,en una de,en uno de,en voz baja,es lo que,es preciso que,es que no,ha de ser,la cabeza de,la cabeza y,la calle de,la casa de,la casa y,la causa de,la de el,la de la,la esperanza de,la familia de,la fuerza de,la hija de,la historia de,la hora de,la idea de,la luz de,la mano a,la mano de,la mano y,la mayor parte,la mitad de,la muerte de,la mujer que,la noche de,la presencia de,la primera vez,la puerta de,la puerta y,la que se,la sombra de,la vida de,la vida y,la vista de,la voz de,lado de el,lado de la,las manos de,las palabras de,las puertas de,le a el,lo mismo que,lo que es,lo que ha,lo que había,lo que le,lo que me,lo que no,lo que pasaba,lo que se,lo que yo,lo único que,los brazos de,los de el,los ojos de,los ojos y,los pies de,los que se,luz de el,mayor parte de,me parece que,momento en que,más de una,más o menos,más que un,no es verdad,no hay que,no se le,no sé qué,otra cosa que,para que no,para que se,parte de el,pero a el,por lo mismo,por lo que,por más que,por otra parte,por primera vez,por qué no,por su parte,por todas partes,puerta de el,puerta de la,que a el,que a la,que acababa de,que el de,que en el,que en la,que en su,que era el,que era un,que es el,que es un,que había sido,que iba a,que le había,que me ha,que no era,que no es,que no había,que no le,que no lo,que no me,que no podía,que no se,que se ha,que se había,que se hallaba,que se le,que se me,que ya no,que yo no,se a el,se a la,se a los,se a su,se acercó a,se de el,se de la,se de su,se dirigió a,se en el,se en la,se en su,se puso a,se puso en,se trata de,sobre la mesa,todo el mundo,todo lo que,todos los días,todos los que,un hombre de,un hombre que,un momento de,un par de,un poco de,una de esas,una de las,una de sus,una especie de,uno de ellos,uno de esos,uno de los,uno de sus,y a el,y a la,y a las,y a los,y a su,y con el,y con la,y de el,y de la,y de las,y de los,y de su,y en el,y en la,y en las,y en los,y en su,y le dijo,y lo que,y no se,y por eso,y por la,y por qué,y que no,y que se,y se puso,y si no,y sin embargo,y sobre todo,yo no sé
nh0001,1,0,4,2,6,0,3,3,0,2,0,11,4,4,1,4,1,1,7,10,9,10,5,2,3,3,2,3,3,0,7,0,2,0,0,0,7,2,3,0,0,2,1,1,1,5,2,2,0,0,1,0,2,2,1,1,1,1,2,2,2,0,3,0,0,1,1,0,1,0,0,0,1,2,0,0,0,5,0,0,0,3,0,3,5,1,2,16,11,3,4,4,7,3,13,0,0,1,1,1,1,3,1,7,3,4,3,3,0,3,5,10,4,1,5,2,0,0,1,2,0,1,3,4,0,4,0,2,0,4,0,0,0,5,0,1,0,0,3,2,2,3,1,2,2,3,2,0,4,0,4,4,2,2,1,3,2,2,2,0,0,2,3,7,0,0,0,4,1,0,3,3,0,5,7,5,1,0,1,0,1,3,1,3,0,2,2,3,1,2,2,1,3,1,1,3,0,11,1,0,0,6,2,0,3,0,5,2,0,3,2,6,0,8,2,0,1,2,3,1,1,4,1,1,1,7,1,7,5,1,4,2,1,3,0,8,0,2,1,1,2,4,3,2,7,10,2,2,1,2,4,0,2,1,0,0,3,2,0,0,2,0,3,1,4,4,0,2,1,2,6,0,0,7,0,6,7,4,2,3,1,2,2,4,0,3,6,0,2,2,2,4,2,3,3,2,0,2,2,2,1,0,4,0,3,1,3,15,3,3,2,7,0,2,1,1,3,0,1,1,1,2,3,3,4,4,1,0,0,12,0,6,3,2,1,1,9,5,1,0,0,3,8,1,0,2,4,2,1,3,2,0,0,2,3,2,1,1,6,0,1,0,0,4,0,3,1,1,9,2,16,7,0,2,2,0,4,6,1,2,1,0,5,1,3,2,0,2,3,3,1,2,3,3,1,1,1,0,4,6
nh0002,9,1,7,9,17,0,1,0,1,2,1,2,10,7,2,4,4,9,3,3,9,0,9,0,0,0,14,4,7,5,1,21,4,8,3,0,8,7,2,3,6,3,0,12,5,3,2,1,1,6,1,5,9,2,5,8,4,1,2,8,3,1,1,4,4,4,1,3,3,0,1,3,4,4,0,2,2,3,2,0,15,3,0,6,10,1,28,24,21,1,1,5,7,7,6,13,6,1,1,2,0,6,7,2,1,9,4,4,11,4,34,1,10,5,13,2,0,12,15,6,5,5,12,8,2,3,1,2,1,3,2,2,8,15,2,9,3,2,5,5,2,2,1,12,1,2,1,0,4,1,1,3,3,4,6,2,3,1,1,13,5,0,11,2,1,4,1,5,8,1,9,6,0,2,2,3,4,0,10,1,0,0,7,11,0,3,6,1,1,2,8,11,5,7,2,2,2,2,11,6,17,12,5,0,4,6,6,3,10,9,3,0,3,10,7,5,5,3,4,2,7,5,3,4,3,3,2,8,0,0,13,6,4,1,4,4,3,18,5,0,2,7,3,2,2,7,2,0,5,4,9,0,4,4,5,7,1,4,0,2,0,0,3,5,13,6,3,6,8,18,3,1,22,7,14,0,2,1,2,0,5,0,1,7,1,4,19,4,4,11,1,6,5,6,3,5,5,0,3,1,13,4,10,1,2,1,4,9,0,6,5,8,5,2,0,7,2,5,3,9,3,4,6,5,7,3,6,21,3,14,3,8,1,9,12,6,11,12,2,4,1,4,4,2,1,1,5,2,0,2,2,6,2,41,8,6,3,9,2,1,2,14,3,11,1,29,3,4,21,4,29,8,1,5,1,3,2,10,15,5,4,4,13,14,3,5,8,1,8,3,2,1,0,13,7,1,3,3,10,4
nh0003,0,0,0,2,1,2,1,0,0,1,2,1,0,2,0,4,2,0,1,0,6,0,1,3,0,0,6,0,3,0,9,0,2,1,2,0,0,4,1,0,2,2,0,0,1,1,1,0,0,0,2,4,5,2,0,2,0,5,0,1,1,4,1,0,1,0,0,0,2,0,3,0,4,1,0,2,0,0,3,3,0,0,0,0,4,0,0,12,4,1,2,0,0,0,6,2,1,0,1,1,1,0,3,2,0,0,2,0,2,0,3,1,0,1,0,6,1,4,1,1,0,1,0,3,0,1,0,1,0,0,1,0,0,1,0,1,3,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1,0,1,2,0,0,0,1,1,0,3,3,1,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,2,0,1,1,2,7,0,0,0,0,0,1,4,0,0,2,1,2,1,3,2,0,0,1,0,0,0,0,0,0,4,2,0,11,0,0,0,0,0,2,0,0,2,3,0,0,0,0,1,1,0,1,2,0,0,6,0,0,0,3,0,0,1,0,1,1,1,0,1,1,2,2,1,2,1,0,0,0,2,1,1,0,0,1,0,0,1,1,0,0,1,0,0,3,1,2,1,0,0,3,0,0,2,1,1,1,2,1,0,1,4,0,0,3,0,1,1,1,1,0,2,0,1,1,1,3,0,1,2,0,1,2,0,4,1,3,2,3,2,2,3,0,1,1,1,0,0,0,0,1,0,1,1,1,1,2,0,0,0,5,3,0,2,0,0,2,0,1,1,0,0,1,0,2,2,3,5,1,0,2,2,0,1,3,3,5,1,1,2,0,0,1,2,0,4,3,2,1,2,2,3,1,0,0,2,2
nh0004,0,0,2,3,4,0,0,0,0,1,0,0,2,3,1,5,3,0,0,0,3,1,0,0,1,0,2,2,1,0,0,1,0,0,0,0,1,2,0,1,1,0,0,6,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,2,2,0,1,1,0,0,0,1,1,0,1,1,6,0,3,1,1,1,2,3,4,4,2,0,5,4,11,0,0,5,0,1,0,0,1,0,0,1,0,1,0,2,1,0,2,0,1,0,0,0,0,0,0,3,1,0,3,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,7,3,0,2,0,0,1,0,0,5,2,2,0,0,1,0,0,2,0,1,4,0,1,2,0,1,1,0,0,3,0,2,1,0,0,0,0,1,0,1,2,0,0,2,0,0,0,1,2,1,1,0,3,0,0,1,4,1,1,0,1,0,3,3,1,0,3,0,0,0,1,6,1,0,3,0,5,0,2,1,2,4,1,0,1,2,2,0,0,1,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,1,1,3,1,2,0,1,0,1,0,0,2,2,0,0,1,1,0,1,0,0,3,1,3,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,1,0,0,3,0,2,0,3,2,0,0,2,1,0,2,0,1,2,2,1,0,0,0,0,0,0,2,2,0,1,1,0,1,1,0,0,4,1,4,1,3,0,1,2,5,6,0,1,1,2,0,0,0,2,0,1,0,1,2,0,3,1,2,0,1,0,0,1,3,0,2,1,1,2,1,6,2,6,2,1,5,0,3,1,5,4,0,1,0,1,0,2,0,0,0,2,0,0,1,0,2,3,0,0,1,1,0
nh0005,0,1,0,3,0,0,2,0,1,1,3,1,0,0,0,2,0,0,1,1,9,0,3,2,1,1,5,0,0,0,2,0,0,0,2,2,3,1,0,1,1,1,0,0,2,0,0,1,0,0,0,1,0,0,1,1,0,5,0,0,3,0,0,0,1,1,0,0,0,0,1,1,1,2,0,2,1,3,0,0,0,0,5,1,0,0,1,22,0,1,1,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,3,3,1,1,0,1,0,1,1,0,1,2,0,0,0,2,0,1,0,0,0,0,0,1,2,0,1,0,0,3,0,1,0,0,0,3,0,2,1,3,0,1,4,0,0,0,2,0,0,0,1,0,3,1,0,1,1,0,1,1,0,0,0,1,2,4,0,3,0,2,1,0,0,1,1,1,0,0,2,1,0,1,0,4,0,0,2,6,1,0,0,0,2,0,0,0,2,3,2,0,0,1,2,1,3,0,2,1,4,1,0,0,1,1,0,0,0,2,0,0,6,0,3,2,0,1,0,0,0,2,1,1,3,0,2,0,1,0,0,0,4,2,2,4,0,1,2,1,1,0,3,0,0,0,0,1,0,2,1,1,3,0,2,3,0,1,2,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,2,2,1,0,2,1,0,0,1,1,0,0,0,0,8,1,1,1,0,2,0,0,1,2,0,0,2,0,1,3,0,1,2,0,1,1,1,2,2,1,2,3,1,1,0,0,2,1,3,0,1,2,0,0,2,2,2,0,0,2,0,1,0,3,5,1,0,0,0,0,0,2,2,5,0,2,0,1,4,0,10,6,1,2,2,0,0,6,4,1,3,1,3,3,2,0,2,2,0,1,6,4,3,4,3,0,2,1,2,1
nh0006,4,2,1,13,3,12,1,0,2,0,4,7,3,2,1,7,0,2,3,0,6,0,7,5,0,2,12,0,5,1,7,3,0,1,2,2,5,3,1,2,2,8,2,5,0,2,2,2,1,3,2,3,3,2,4,7,4,11,2,3,1,2,1,1,0,3,0,4,6,11,9,0,6,5,0,9,1,2,18,6,1,1,5,0,4,4,1,3,5,11,1,0,5,0,4,4,9,5,0,0,0,4,6,3,0,4,1,3,5,2,12,1,3,2,4,1,1,4,3,2,2,3,8,5,6,0,7,3,1,3,4,4,1,1,3,0,14,4,4,4,3,5,4,1,1,9,10,3,11,5,10,0,4,2,3,1,1,1,1,12,4,2,3,1,5,7,2,3,1,1,1,3,4,13,4,0,7,0,3,0,3,2,0,3,4,7,11,1,2,7,2,1,2,3,5,2,6,0,3,1,2,2,0,6,4,2,0,2,0,2,2,2,4,11,3,2,2,1,2,7,4,6,4,0,3,2,2,7,2,8,5,1,2,10,1,0,3,2,5,2,1,1,2,2,5,5,2,7,1,10,6,2,2,3,6,3,1,1,3,1,1,4,4,2,6,1,4,2,2,6,2,1,2,2,0,4,3,9,2,2,0,1,2,12,1,4,1,5,3,1,0,5,2,3,2,4,6,1,2,1,8,8,5,3,3,1,4,5,0,4,1,3,2,1,1,3,6,5,0,12,6,5,6,4,5,2,2,3,3,9,3,6,4,13,1,0,5,6,5,2,3,2,2,1,2,7,5,2,3,4,0,0,1,15,8,2,0,3,3,3,0,0,3,6,1,6,1,0,17,2,5,2,2,3,4,3,2,6,9,2,7,4,6,3,2,5,3,4,1,2,2,2,5,10,9,2,1,1,7,5
nh0007,0,0,3,1,8,0,3,1,5,5,5,7,3,0,0,4,0,0,8,3,1,0,11,0,1,0,11,7,2,2,4,1,1,0,15,4,3,2,0,0,1,1,1,4,0,5,2,1,0,4,0,3,3,3,1,7,4,21,1,5,2,5,5,0,2,5,4,1,5,2,5,1,6,0,0,3,1,4,1,0,28,2,4,3,1,0,2,9,9,1,3,1,10,3,12,0,1,8,1,2,0,2,2,3,1,1,1,12,5,0,5,0,0,0,2,8,0,0,0,2,1,3,2,2,1,5,7,4,1,2,2,1,3,4,2,4,4,1,3,7,2,2,6,1,1,2,5,1,6,4,4,3,2,2,2,1,2,0,0,2,1,0,4,5,1,6,3,3,1,3,1,6,3,1,9,0,7,0,0,0,4,0,4,3,3,2,6,1,1,5,3,1,3,1,3,5,2,0,5,5,0,3,1,0,6,5,0,9,2,0,0,3,4,25,3,3,2,2,2,5,5,2,4,2,7,2,0,9,2,0,0,0,0,1,2,0,0,2,0,9,2,2,0,2,0,2,1,2,0,2,10,1,0,2,5,3,0,2,3,2,3,1,1,2,12,6,1,3,11,1,0,1,2,3,2,5,3,1,2,1,1,3,0,0,4,1,0,7,1,2,2,2,3,3,1,0,10,1,4,5,6,1,8,2,7,0,7,5,3,9,4,3,8,1,3,5,2,5,3,12,4,2,4,2,10,2,3,5,2,10,2,16,6,9,1,4,4,7,9,1,1,5,4,4,2,12,6,4,3,4,0,1,0,4,7,6,2,5,0,5,1,3,2,2,1,13,1,6,8,1,16,9,2,9,7,9,1,8,4,7,3,11,8,10,1,2,0,2,3,5,6,3,2,11,17,2,2,2,4,2
nh0008,3,1,3,3,6,0,5,2,0,1,1,5,3,0,3,2,0,6,3,0,0,1,2,0,2,5,4,1,3,13,6,0,3,0,0,7,13,1,8,0,0,6,1,2,0,2,0,7,1,4,1,1,1,0,1,0,4,1,2,4,0,8,3,1,1,2,0,1,0,4,7,8,2,9,0,3,1,12,0,0,1,3,8,0,10,0,2,1,12,0,3,8,2,7,31,7,6,2,7,4,0,1,2,10,8,3,11,1,9,3,18,4,2,0,10,0,2,0,1,1,0,2,1,3,1,2,3,4,1,5,8,1,2,6,2,0,3,0,4,5,1,1,6,1,2,1,0,1,3,8,6,3,2,6,5,4,1,3,1,5,0,3,7,1,0,1,1,1,5,0,2,1,1,0,3,2,9,6,6,9,1,5,0,12,2,2,0,1,4,5,8,1,3,7,0,0,0,1,5,5,0,1,2,1,7,2,9,2,1,5,1,5,4,6,2,1,3,3,4,1,3,2,3,1,3,2,2,23,5,1,0,4,1,4,1,0,1,1,2,10,2,7,1,3,2,1,2,1,2,1,24,5,2,4,7,1,0,3,0,2,6,5,1,3,1,2,0,4,2,1,2,2,5,3,1,0,1,9,2,1,4,2,3,1,2,4,4,0,0,0,3,0,2,2,1,0,0,0,3,3,6,1,4,0,1,4,7,2,0,3,2,0,2,1,1,2,0,0,1,1,0,0,10,4,0,2,4,0,0,8,1,4,0,5,0,1,1,5,9,5,3,7,5,0,1,2,6,2,1,0,1,4,12,2,6,2,0,0,1,1,1,6,7,10,1,0,1,5,14,1,4,5,0,3,0,1,2,7,4,2,0,0,1,5,3,4,0,1,0,2,0,0,2,3,0,1,1,0,3,1
nh0009,1,1,0,10,25,13,4,0,6,11,4,0,15,3,1,5,1,3,1,9,1,0,15,1,3,1,25,0,6,6,1,14,2,0,3,1,3,6,1,4,12,0,3,10,0,12,8,8,4,15,3,10,5,3,1,5,3,29,2,10,1,0,1,16,8,3,1,8,6,0,0,0,2,5,0,0,0,4,32,11,24,6,9,3,1,4,0,2,13,2,0,2,7,1,7,18,4,6,3,1,4,7,6,7,6,1,0,1,8,1,41,2,1,1,11,15,0,0,1,17,10,4,15,16,5,3,0,3,0,3,5,0,4,6,4,5,75,1,8,1,4,3,5,3,0,0,2,0,5,1,3,0,8,4,2,5,4,0,6,16,13,6,3,8,4,16,4,11,7,1,1,2,5,1,1,11,7,0,21,1,0,1,10,2,46,0,9,4,3,2,2,5,3,7,2,9,1,6,1,5,10,1,9,0,0,5,0,1,4,11,4,2,0,12,5,10,7,0,2,1,5,4,11,3,7,6,0,2,2,5,3,2,2,5,2,0,1,2,5,2,3,0,0,12,1,4,1,1,5,7,4,3,5,3,12,4,4,3,8,3,2,3,1,3,7,11,7,12,21,5,14,12,17,8,10,1,3,3,1,3,3,1,9,5,2,5,17,3,0,5,7,1,10,22,9,4,10,2,8,2,2,0,4,4,9,0,4,14,4,8,2,6,5,2,6,10,4,3,1,10,10,0,7,0,23,7,9,8,12,44,4,13,12,37,8,1,8,23,9,4,5,10,8,4,2,2,7,4,0,2,10,2,0,4,18,1,5,4,1,14,15,8,0,3,2,1,7,0,10,3,25,11,0,6,5,7,4,7,8,3,6,5,4,8,0,0,1,7,7,12,2,4,3,8,13,4,1,4,5,3
nh0010,3,0,5,2,25,0,6,5,0,14,8,0,3,8,9,7,0,5,9,2,0,7,8,24,6,2,25,1,4,2,3,1,0,5,10,4,3,1,4,0,4,2,1,14,6,1,4,7,0,15,1,3,11,2,2,1,10,9,4,3,3,3,6,6,1,3,1,0,9,0,0,4,1,4,59,1,1,9,0,0,0,5,1,3,10,4,2,6,8,31,14,3,4,14,30,3,4,12,2,4,3,0,1,10,12,1,8,2,2,0,18,3,5,2,9,1,0,1,0,4,1,1,17,6,0,0,1,4,0,4,2,1,5,5,5,2,1,1,5,2,2,6,5,30,3,1,1,7,1,11,0,2,2,2,4,0,1,2,5,16,1,0,13,2,7,19,5,2,1,0,2,7,3,5,9,1,3,1,4,4,5,2,1,2,1,0,1,0,10,0,12,7,0,6,0,13,6,5,2,3,0,10,3,1,3,1,5,0,0,3,1,3,5,17,5,3,3,3,4,17,4,10,1,0,5,13,14,11,4,5,5,2,0,4,1,3,0,10,4,25,3,8,5,4,4,2,3,4,1,6,24,4,0,5,2,0,7,8,10,4,2,3,7,10,2,11,1,4,7,10,1,0,6,3,4,0,9,2,7,1,3,10,3,4,2,3,3,3,1,4,2,5,3,8,4,4,4,0,3,6,4,5,7,11,23,7,8,17,9,4,2,4,4,5,4,3,2,0,2,11,8,7,4,3,8,7,4,5,4,18,1,11,14,16,2,3,6,12,6,2,2,4,8,4,2,6,5,4,2,7,1,1,12,12,4,10,2,7,3,1,34,4,3,22,0,11,4,2,15,3,40,10,2,1,5,3,4,6,2,4,2,3,4,2,2,4,1,3,0,7,1,1,6,5,6,5,2,5,12,4
