,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call, a , ca, co, de, di, el, en, es, ha, la, le, lo, me, mi, no, pa, pe, po, pr, qu, re, se, si, su, un, y , — ,", y",. —,a a,a c,a d,a e,a l,a m,a p,a s,"a, ",aba,ado,an ,and,ant,ar ,as ,con,de ,des,do ,e a,e d,e e,e l,e s,el ,en ,ent,er ,era,ero,es ,est,ien,la ,las,lo ,los,n e,n l,na ,ndo,no ,nte,nto,o a,o d,o e,o s,"o, ",on ,or ,os ,par,per,por,que,ra ,res,ro ,s d,"s, ",se ,sta,su ,te ,to ,tra,ue ,un ,ía 
10,subgenre-current,novela romántica,other,100,3gram_chars,zscore,1,0.0,-0.4441694758508572,0.2501493270005972,0.010419930088962914,-3.552713678800501e-15,0.33627708925271715,0.2971331359673952,0.23850334038381749,-0.36242785572941516,-0.5875374773645827,-0.3925551921980961,0.9719140462258795,0.5856540142157336,0.7043778901497979,-0.9336156962585956,0.4009940625842654,-0.2844376250607845,-0.2214523663712531,-0.3508129809310061,0.4711711574715074,-0.07588032198355643,0.20668598884814204,-0.4829047138628082,0.5394848722179959,-0.3119924889012211,0.017144934172948822,0.5235913698758194,0.2821339823112763,-0.8367037154565444,-0.22109601659532951,-0.46292794233632595,0.7620195487487567,0.68645422168427,0.7637417417473578,0.7005926010239274,-0.9785854430020895,0.0020667556428826117,-0.5871331636267867,0.05862044527028232,0.7471471498518805,0.2202037831862338,-0.11116119652114942,0.6277226382167806,0.4861176141011039,-0.9100027835178328,0.14765465309160675,-0.30872761013245165,-0.06604935381183719,-0.2595717348195583,-0.19195480548515387,-1.4394175087396057,-0.5947346607202375,-0.34422895645561713,-0.35032603547135865,-0.7743248859363319,0.033094517315635175,0.17987592542356612,0.748128845738596,-0.9180772828944386,0.16887035256132543,-0.5528384246251079,0.4675250997807836,-1.2636879081455605,0.7852298649991667,-0.6147633702694265,-0.401409305246889,0.2648172501994468,-0.09514955111089296,0.4132654430930949,0.7335569090147456,-0.4912402255162891,-0.19001709695706714,0.5733792187913762,1.287799418153642,-0.4534227711771255,-0.34882533225740864,-0.3142094052383637,-0.021157192124801494,0.1465208350519398,0.41985252582953736,-0.3095897421544884,0.5135800493940388,-0.8037319188276721,-0.1248249304886857,-0.6253892598857436,0.6404838285786332,-0.7283770224003425,-0.06293296313720975,-1.2299340974252662,-0.13743663581966237,-0.1353404330927077,0.5010632234943664,-0.0019446564060485727,0.29781479290756296,-0.4705389054203333,-0.3322432223278733,0.3479113596035899,-0.11475966487660338,-0.2842606765979663,0.6970529721653111,0.737276799511557
11,subgenre-current,novela romántica,other,100,3gram_chars,zscore,1,1.0,-0.22124356836053938,0.15314861197876883,0.42899015911659455,-1.3322676295501878e-15,0.5932849089698045,0.4703092803779325,-0.06333698175515345,-0.43967497875078987,-0.7390555210433305,-0.34400593825709747,1.3369584276010984,0.45756978602358767,0.5110573612675304,-0.8812674508816931,0.3014053574136164,-0.07437113545743834,-0.44635658826974045,-0.24960879902001887,0.3518673929244547,-0.12209032176582957,0.29137574587983894,-0.5155332600861362,0.6945551214391257,-0.5819007506642915,0.04367623037352719,0.37282476262750075,0.43521538809346416,-1.0470690980230208,-0.3017720449750183,-0.4324497584077698,0.8717150452001254,0.889773664455527,0.5320072543923948,0.6339804365242938,-0.9286355216176512,-0.199375102102179,-0.49447097060806144,0.05355813442823543,0.7708516006444208,-0.03477116958599047,0.5137858928976498,0.5116069858719701,0.5612320593547666,-0.7466930111822088,0.352425557007785,-0.1406835346503621,-0.03767763600421992,-0.1732541282144684,-0.2931996667793446,-1.124206844099147,-0.801942492005054,-0.33191185869249895,-0.4749925960565957,-0.7029177830518019,0.2564572703640431,0.04291797743634329,1.324025604175722,-0.5669018863937008,-0.13096274900774874,-0.7392717716900683,0.41367176089656366,-1.079424996478469,0.9605096385742202,-0.5356489655102669,0.03643211760519871,0.28516487011900193,-0.04340911137949299,0.5483983660720033,0.7562007287476646,-0.33915804068225985,-0.07828895050378892,0.6636135718147633,1.3440674137255155,-0.2343341495310598,-0.06145418017628135,-0.04709382172256271,-0.06891132401084166,0.00022013553178767964,0.28615477131499323,-0.19008171211615865,0.08349034740543626,-0.922967469131784,-0.05074130704058444,-0.9043826879907604,0.300156526567954,-0.7147656384388259,-0.5798863902157976,-1.5575101708262162,-0.45669194350313314,-0.16671140589946787,0.5282831896405991,-0.2294576435813216,0.5254313113879321,-0.7464629649405823,-0.2131927008951049,0.5586332886202132,-0.36289024269556847,-0.4288258301695571,0.630466740087261,0.6677355404532153
12,subgenre-current,novela romántica,other,100,3gram_chars,zscore,1,2.0,-0.4066633259170316,0.2538346764974151,0.3353482279334957,1.3322676295501878e-15,0.563319911109682,0.4246404647556703,-0.09921359241309219,-0.4814302503215591,-0.5364572244471294,-0.037486403327802426,1.1560639286788594,0.46190260462492627,0.7342724136821517,-0.7928629817128665,0.45256084380286904,-0.06726968737437722,-0.4014732367433358,-0.7104955019475396,0.46257464719890495,0.10404941758534009,0.43912730831934943,-0.337268699523109,0.4481349323425618,-0.6145121039822891,0.13468033049337663,0.3820690643165048,0.3170234656804018,-1.0218613702004675,-0.16871883945855215,-0.18322904176470212,0.9861344028308523,0.7776303818030319,0.6798188693522081,0.5349608718606715,-1.2686066906153897,-0.15732881539657967,-0.5402075484299232,0.3745418616737644,0.7287497754274326,0.12453622699336109,0.06879253457881979,0.7740062760721549,0.1339090542415755,-0.9001855336785464,0.1744058788242625,-0.0644414851835321,-0.12809584235290017,-0.15386174727384094,-0.0619964192721052,-1.4580853885085543,-0.6737212459792837,-0.364906673993753,-0.32742465938273246,-0.704394489450731,0.14275353790473017,-0.2726754343921147,1.2216135757617979,-0.7426256571205461,-0.0589588599164782,-0.8657496201041509,0.37131978405347105,-1.2664379950981928,1.0924610804079893,-0.4619114012042486,0.04953729082433106,0.03815188957367899,-0.04257987563267035,-0.09096457571140226,0.4775301934217343,-0.3476449120875668,-0.10153939597922274,0.4922637193597504,1.4782243016115684,-0.10289321772478432,-0.501487154154115,-0.3672643520747867,-0.04569271366863503,0.06228689620148575,0.4093069016428765,-0.29896272283546893,0.01515421152349894,-0.8345744327211653,0.22694246410307473,-0.37958383036103194,0.03486782521788856,-0.5935478335164176,-0.5249607630443551,-1.2466975536277558,-0.6951505035813297,0.14211109505539632,0.5274341759751136,-0.062253860914934234,0.28539194877801044,-0.7993365653320901,-0.47952657640353846,0.5252651181581219,0.26125638795959905,-0.36586051783982804,0.5642826021180058,0.9273632975228525
13,subgenre-current,novela romántica,other,100,3gram_chars,zscore,1,3.0,-0.17956483942715062,0.05557320774219687,0.21974043002482946,-2.220446049250313e-15,0.28845640892699703,0.3272496511474211,0.1422192405589433,-0.3616981798461756,-0.5954413566961034,-0.24901023855353766,1.1212530685521829,0.4984121643170396,0.9901307682739027,-1.062242948828925,0.657573730883598,0.03512619710432252,-0.43510664401619836,-0.5245836642791077,0.37688797382038075,-0.20361776362951645,0.5777758206393813,-0.45348685116068566,0.47456636895435755,-0.2396987232283012,0.09754532070792254,0.36378984321911634,0.3028801223776516,-0.739880811607692,-0.27246154365630326,-0.3155428759893262,0.8849434372173429,0.6448786716627108,0.6824127301067938,0.8176222453903186,-0.901054418369027,0.00034318699751745285,-0.5273894197324994,0.03315425496417168,0.7679541563829245,0.13617446363705765,0.2824736743123992,0.6804503229260318,0.27168975771316495,-0.7148285995338232,0.33529187888012113,-0.059432735048158714,0.01973326068918091,-0.15545933745848117,-0.23207467994931297,-1.236308827653993,-0.56015360993086,-0.15863769482203627,-0.18257602066925815,-0.6909166225574477,0.09051751549449633,-0.11707923603877468,1.1301069648416349,-0.9816282099163071,0.051142821035651376,-0.7735855039424792,0.2524778159612461,-0.969649188820456,1.044178054660602,-0.5870782227423015,-0.09146926386888832,0.027828837383288008,-0.11465933144932772,0.27509428372324307,0.8097334489256673,-0.49219824551349584,-0.07043780208529482,0.6599632087233522,1.3802747296477513,-0.4137105994647833,-0.6106067817968402,0.07427239273539987,-0.13854502239842414,0.07592605749594394,0.3559464494916472,-0.2803858834134657,0.07514638443623856,-0.8852886827898041,0.11467326140761314,-0.7869447382460316,0.7268296267732541,-0.8294884464294789,-0.4953590707789076,-1.3556809153341218,-0.6155123121927016,-0.009415545747311405,0.2914396251940561,-0.12741222525371976,0.3567058742177627,-0.5442655269622017,-0.3713971184952517,0.6807633638069405,0.02895943489086794,-0.5114945438400379,0.7976983541070404,0.6767049050336211
14,subgenre-current,novela romántica,other,100,3gram_chars,zscore,1,4.0,-0.4420608718106034,0.5040175592864535,0.24654293798133042,0.0,0.5438609781582572,0.3188375255824025,-0.01399597879386727,-0.4995627621408929,-0.7397029954584649,-0.28459180127082107,1.4464737553600513,0.7261704919127976,0.8682272278663757,-1.111598631331077,0.44329426343970946,-0.023485066505063212,-0.5907077715704663,-0.34949574438260633,0.6607221896035884,-0.1424865003306981,0.3010374113289349,-0.48958958223802185,0.2653194966022996,-0.5129340944548073,-0.0064163711973572735,0.14310628228551914,0.21394669386424892,-0.66135767627364,-0.3832600472597345,-0.28801581765048256,0.9450548614844714,0.8275213310461855,0.6521963641751969,0.6904579112493405,-0.7062929006218825,0.002022761346665125,-0.4686490563984427,0.13560469964997246,0.582302630726133,-0.10162679599258673,0.0892390662208904,0.5904110745631566,0.46203759833064595,-0.7123199921252759,0.1842076833642552,-0.018392668454769945,0.16693611755339344,-0.15553676666327987,-0.1793208836534208,-1.2770231390970153,-0.681067967385705,-0.26503939467940807,-0.08350807185838938,-0.5849555599153136,0.10712445119303649,-0.2043994076504554,1.116846051203043,-0.7336427679521567,-0.1718442141027523,-0.719240112445001,0.24676707128563136,-1.181212794336112,1.1009306737255793,-0.5258694036151026,-0.2438754551569864,0.1541593613904999,-0.02146427254096206,0.4582218248838932,0.8092585725098511,-0.34054949551640834,0.03935431140803536,0.5851779710879426,1.29483291190641,-0.34113126674140193,-0.3811496219950379,-0.27364656861111536,-0.13746637173441467,0.12011204703723832,0.4473882205340205,-0.41411861315390874,0.0636899625106695,-0.7952319574929148,-0.12089902460556834,-0.7774465414485294,0.5995638815436704,-0.7317708620320262,-0.3422611901067275,-1.286061726728863,-0.48996662415914694,0.200855585157802,0.4571575296384116,-0.17070279240376274,0.47294316723875207,-0.6127185871737799,-0.13423330949724765,0.58649181572841,0.07305968320885214,-0.38344486227525754,0.5940208555565691,0.7441592059929389
15,subgenre-current,novela romántica,other,100,3gram_chars,zscore,1,5.0,-0.1412515800527001,0.21668666040422035,0.19840348430808874,8.881784197001252e-16,0.4939958066625517,0.32134124417440035,0.06715967166563253,-0.3226108906216809,-0.49117548399919975,-0.3712169064934665,1.144654247426863,0.4428425024154172,0.8256714169383759,-0.8891140678740341,0.348304375171655,0.08083947827335436,-0.4725937069171162,-0.29706234518073016,0.7046318264688898,-0.1922511773874227,0.614397997416011,-0.5510813089055073,0.42440521911831686,-0.6669363630854683,0.05910390328592019,0.6389450610590414,0.6493036114084888,-1.1790448409876757,0.2911945623418418,-0.2241082435911974,0.8653482525269753,0.46672438432675345,0.6338216059830124,0.7972012386696226,-1.02150033864741,0.05135759151724917,-0.3459901605114378,0.09763513917002364,0.8810620585797602,0.07481967874824758,0.3022040718222849,0.6599135937896543,0.22604131323699472,-0.45116035869433646,0.35233909775093775,-0.22065122375918078,-0.09972015624096064,-0.2059893398695296,0.04138131056434324,-1.1719041381982829,-0.5979891954250411,-0.30324177895383553,-0.4036629463364223,-0.8385709928955016,0.2532707813367896,-0.3224873416799887,1.3636885148592934,-0.789689401670089,-0.03804891028041446,-0.7415907547090357,0.2691136487348089,-1.0713636717802104,1.1263984406837502,-0.704594241884885,0.08727332301473711,0.23669878086008067,-0.15956397120049914,0.5362909318440837,0.9315349859034161,-0.24184228236268512,0.0929529410810892,0.3108918426270494,1.4997237180988514,-0.8928133128199223,-0.5292290287428585,-0.10971295705301554,-0.14052802557527677,0.033679095862988895,0.5363570021906239,-0.30963924812690147,0.25952348999216723,-0.9724160043544674,0.1072253248997106,-0.8725987475728143,0.663536408699378,-0.725536330704303,-0.48154599174791257,-1.277339192759439,-0.7126160155400632,-0.3021503224481643,0.40088275107751736,-0.329958853559023,0.30076881235129305,-0.808880479341529,-0.38483381655957727,0.3727088703091115,-0.10896842072932023,-0.4163069635547998,0.5380326503791298,0.7087966825760321
16,subgenre-current,novela romántica,other,100,3gram_chars,zscore,1,6.0,-0.42191746224781657,0.40280052726516424,0.1880241905788479,7.993605777301127e-15,0.37855677483226646,0.3683878534248486,0.23771032463513825,-0.5100774722590455,-0.6161326985861827,-0.3102126222565005,0.8924426487697589,0.5645978843204053,0.4864829810365725,-0.8558052005296088,0.6322423999415898,0.027070235447876345,-0.5445127146724165,-0.49755720547778526,0.4617263264668112,-0.0932098633325586,0.26885697527219243,-0.4945294537306678,0.5456838901496768,-0.25290560366767145,0.19968990350326538,0.21380631067169298,0.5052539975311736,-0.9601964548996064,-0.1340193342482685,-0.35858579161193604,1.0850844284990422,0.8968562758479721,0.5159479194796964,0.6575486302934886,-0.7753768420335299,-0.11301227268668562,-0.6742542377913233,0.08277145245684542,0.7465007521790196,0.22530487183046022,0.3969628748862634,0.7500002837692235,0.3847364223101357,-0.7991393205857674,0.1920470433249971,-0.08729939402814124,-0.09736699081386346,-0.19533297822795292,-0.26174591366721645,-1.314278753616705,-0.7513073760381442,-0.284725589058584,-0.3143267490020215,-0.8149448583070495,0.17034088135015585,-0.20129089252457633,1.261993439332378,-0.7873725120589683,0.03596898006914018,-0.8014049115292289,0.49961322210909925,-0.9900494096142947,0.8988885376281481,-0.414310309523154,-0.11415407530076321,0.37455709936590287,-0.24854597744878565,0.1399198636705512,0.6957047002696272,-0.48371718271306813,0.0434316822931044,0.8495983599773735,1.4586790989894487,-0.44964888268487013,-0.5259738540063605,-0.3754749651727327,-0.06099677829875194,0.2501672414512385,0.5219621954275913,-0.2205936742171946,0.3967403989330355,-0.9131766935256171,0.14534955114301396,-1.1553249210352567,0.41466871710363595,-0.681050941218443,-0.43661873198715834,-1.0184627412100533,-0.4176838290637454,0.06630597623687295,0.48193949170229683,-0.056895730371151365,0.397334219971362,-0.5399065683606807,-0.02768899433368832,0.47011873079392374,-0.5035654285026692,-0.43689750382404197,0.6574763193242465,0.5022190586050381
17,subgenre-current,novela romántica,other,100,3gram_chars,zscore,1,7.0,-0.4053972373418797,0.1892558837260656,0.33422510341100975,1.3322676295501878e-15,0.40750709633138515,0.2461307679476511,0.22694424572568828,-0.3004020307581685,-0.4981010747223107,-0.2444519994437615,1.245746433118875,0.35583356760447427,0.6933391066703789,-0.973838274123538,0.5674668669035396,0.30853054139623604,-0.6727543248036607,-0.37473703505666256,0.6572496315173244,-0.15538679646213338,0.10424779558183661,-0.3634571745537232,0.3194879368303505,-0.5350562891270001,-0.017442508999861994,0.6124797798829396,0.3706191116308606,-1.0454240822941503,-0.26465513116618866,-0.26901993160476234,0.8824969065073872,0.778775210953746,0.8519973218986228,0.6590914596247424,-0.6866785666356725,0.039113443582813545,-0.4499161532456297,0.09733433594675489,0.611246983546713,0.13700434010722562,0.21188769078203373,0.6092160409937454,0.4303924504545864,-1.0997762211903523,0.41180224882105976,-0.03085141426518545,0.02301084720977631,-0.21163115627354845,-0.12113320489291801,-1.2941600195764011,-0.6632127631265774,-0.44421416781378786,-0.3367626752221402,-0.574844537882369,0.06873407305417834,-0.20232716777010595,1.114353835104828,-0.7892936088176858,-0.011034792441418473,-0.5527460276772884,0.312391144278112,-1.019733809501353,0.9238649673294568,-0.4989754860188256,-0.1464300970885004,0.4249403849335365,-0.27318785364975184,0.2669231876607874,0.7214262484360894,-0.4017824090542137,-0.07932796295237121,0.724075557174102,1.2928697141349152,-0.36405718518376395,-0.6348134126198997,-0.3493115125817803,-0.0632650163428019,0.10038099111960008,0.39396921213548075,-0.3634721126659066,0.036099515139004446,-0.8581587580779155,0.10715935526374865,-1.2753473029216904,0.5111069929029122,-0.8683926686057932,-0.2553660678047137,-1.166408403907552,-0.4729284094987727,-0.007929194593408795,0.24377815584087004,0.0631851358321931,0.3335820698726204,-0.5895076585690162,-0.2330598526365395,0.5147296839013156,-0.1534466811870896,-0.47294690705442144,0.648906437654241,0.6977853236988337
18,subgenre-current,novela romántica,other,100,3gram_chars,zscore,1,8.0,-0.16968599230640058,0.1524811251732554,0.5334705972215054,4.440892098500626e-15,0.22862859170578792,0.058340558813735455,0.14493746977756616,-0.23237550171801136,-0.8219247946926918,-0.4057143150621738,1.2900042113092591,0.49004182721313894,0.6279696637735835,-1.044249107918166,0.6631435260568779,0.14683200631424353,-0.3849677691856739,-0.4469738909968086,0.1255609860890683,-0.14953053648470327,0.5444091991063538,-0.16569271797859952,0.15895204488779513,-0.6365499345689702,0.15717422495208355,0.6131605258854926,0.4907844239586145,-1.297017597492577,-0.31155137751688683,-0.2912778818026136,1.0806157897601434,0.5502954005775036,0.9170450159295724,0.748461495064535,-1.0952139365342732,-0.35196114555340796,-0.3166972080732977,0.20689581420241998,0.7589282508103975,0.052325516332502264,0.1993971264033716,0.7393589638929107,0.20037322554990977,-0.41828578901282487,-0.013196901666618244,0.05367349099690488,-0.06150668821146299,-0.22720094886954612,-0.19620449930668238,-1.1582426291059567,-0.46573127759765776,-0.2344579059067604,-0.566132959590362,-1.0440774132016082,-0.07129984415062085,-0.1768995379790359,1.326762925133898,-0.7339682324933221,0.25361562912365754,-0.7153199026050173,0.48877768870659355,-1.0515268482018247,0.6701794566048264,-0.5227151450615992,-0.36724948864913887,0.07375839211803226,-0.09342826892576739,0.2882253196691118,0.8644672969336039,-0.28786865892580815,0.04350205874556401,0.46973171045477824,1.0917207775290523,-0.5312893082773906,-0.5777398185446223,-0.10572218972422487,-0.2334367239181374,-0.0520460328571819,0.449366624492304,-0.621928324459642,0.044320015755566544,-0.8447342390664275,0.028292316776527326,-0.6579917047340359,0.4352354986156628,-0.6746594686516411,-0.516251462477594,-0.8890688431663685,-0.4728311594677398,-0.0982739152298695,0.5717300564587062,-0.18834836005093258,0.504227507462002,-0.8593478839942221,-0.5493659262527038,0.40459633734741796,-0.10540450673726798,-0.5384185245732409,0.6005807025907068,0.8462371559796281
19,subgenre-current,novela romántica,other,100,3gram_chars,zscore,1,9.0,-0.5692126249200342,-0.22014200597152578,0.4606680817306693,-2.6645352591003757e-15,0.41269045969239515,0.2366797147634041,-0.2630111152096455,-0.30186633647594396,-1.03295275191124,0.0002987074577094351,0.9871959430437782,0.5799353465570274,0.6581449882884903,-0.8114216028588237,0.4400840434123876,-0.09232518289887304,-0.3289930257250788,-0.6527072468664026,0.5038525288359617,0.10958460829583849,0.5134798079486929,-0.5170140612027652,0.5302522796942752,-0.41232384101894803,0.05258738797029405,0.6008074772550132,0.22666584817446123,-0.8314398224007575,-0.23388058661032263,-0.44550209040306665,1.2372065641464896,0.6708747380889617,0.4582604262397292,0.9481645704313384,-0.7597805575294456,0.24872999481480718,-0.4857013405340235,0.08772752997477207,1.090962743189979,0.3053125154862908,0.2182918424169511,0.818180038943024,0.23085754252019375,-0.4954420830523354,0.018939892560499105,-0.04677287692247922,-0.20070673885688972,-0.06222114321368899,-0.06063242010849679,-1.230702782683973,-0.9582805491681183,-0.3828035284358158,-0.08401334821848261,-0.7263871342196633,0.09712107648743529,-0.07602990513163377,1.2231716422560899,-0.6244674745105172,-0.002820206710231088,-0.6419241969909062,0.524571145964698,-1.0147092883874231,1.198647680004286,0.07212264411538549,-0.30474313383345,0.34241695120330107,-0.2588151652812628,0.20316251350560688,0.6717870386307956,-0.13574642580546137,0.16291710697161055,0.6383753277218962,1.4295968746803458,-0.7205621843999446,-0.6442096047183228,0.12202578497851735,-0.23968492945445996,0.3542613273675559,0.3388024212294458,-0.6108999581454715,0.3536605146528542,-0.8484215702350237,-0.204162686672696,-0.9451712777353367,0.27565688927326293,-0.5626342478830106,-0.3507163452386729,-1.0984866654095495,-0.5043243938368782,-0.18218508626495167,0.5127912505716865,-0.2368528784701771,0.03665230447911094,-0.6514219677057792,-0.13308259602519168,0.2905181565445967,0.3014140715372806,-0.42866293677291933,0.5288964486506653,0.8248356081778535
20,subgenre-current,novela romántica,other,100,3gram_chars,zscore,2,0.0,-0.4441694758508572,0.2501493270005972,0.010419930088962914,-3.552713678800501e-15,0.33627708925271715,0.2971331359673952,0.23850334038381749,-0.36242785572941516,-0.5875374773645827,-0.3925551921980961,0.9719140462258795,0.5856540142157336,0.7043778901497979,-0.9336156962585956,0.4009940625842654,-0.2844376250607845,-0.2214523663712531,-0.3508129809310061,0.4711711574715074,-0.07588032198355643,0.20668598884814204,-0.4829047138628082,0.5394848722179959,-0.3119924889012211,0.017144934172948822,0.5235913698758194,0.2821339823112763,-0.8367037154565444,-0.22109601659532951,-0.46292794233632595,0.7620195487487567,0.68645422168427,0.7637417417473578,0.7005926010239274,-0.9785854430020895,0.0020667556428826117,-0.5871331636267867,0.05862044527028232,0.7471471498518805,0.2202037831862338,-0.11116119652114942,0.6277226382167806,0.4861176141011039,-0.9100027835178328,0.14765465309160675,-0.30872761013245165,-0.06604935381183719,-0.2595717348195583,-0.19195480548515387,-1.4394175087396057,-0.5947346607202375,-0.34422895645561713,-0.35032603547135865,-0.7743248859363319,0.033094517315635175,0.17987592542356612,0.748128845738596,-0.9180772828944386,0.16887035256132543,-0.5528384246251079,0.4675250997807836,-1.2636879081455605,0.7852298649991667,-0.6147633702694265,-0.401409305246889,0.2648172501994468,-0.09514955111089296,0.4132654430930949,0.7335569090147456,-0.4912402255162891,-0.19001709695706714,0.5733792187913762,1.287799418153642,-0.4534227711771255,-0.34882533225740864,-0.3142094052383637,-0.021157192124801494,0.1465208350519398,0.41985252582953736,-0.3095897421544884,0.5135800493940388,-0.8037319188276721,-0.1248249304886857,-0.6253892598857436,0.6404838285786332,-0.7283770224003425,-0.06293296313720975,-1.2299340974252662,-0.13743663581966237,-0.1353404330927077,0.5010632234943664,-0.0019446564060485727,0.29781479290756296,-0.4705389054203333,-0.3322432223278733,0.3479113596035899,-0.11475966487660338,-0.2842606765979663,0.6970529721653111,0.737276799511557
21,subgenre-current,novela romántica,other,100,3gram_chars,zscore,2,1.0,-0.22124356836053938,0.15314861197876883,0.42899015911659455,-1.3322676295501878e-15,0.5932849089698045,0.4703092803779325,-0.06333698175515345,-0.43967497875078987,-0.7390555210433305,-0.34400593825709747,1.3369584276010984,0.45756978602358767,0.5110573612675304,-0.8812674508816931,0.3014053574136164,-0.07437113545743834,-0.44635658826974045,-0.24960879902001887,0.3518673929244547,-0.12209032176582957,0.29137574587983894,-0.5155332600861362,0.6945551214391257,-0.5819007506642915,0.04367623037352719,0.37282476262750075,0.43521538809346416,-1.0470690980230208,-0.3017720449750183,-0.4324497584077698,0.8717150452001254,0.889773664455527,0.5320072543923948,0.6339804365242938,-0.9286355216176512,-0.199375102102179,-0.49447097060806144,0.05355813442823543,0.7708516006444208,-0.03477116958599047,0.5137858928976498,0.5116069858719701,0.5612320593547666,-0.7466930111822088,0.352425557007785,-0.1406835346503621,-0.03767763600421992,-0.1732541282144684,-0.2931996667793446,-1.124206844099147,-0.801942492005054,-0.33191185869249895,-0.4749925960565957,-0.7029177830518019,0.2564572703640431,0.04291797743634329,1.324025604175722,-0.5669018863937008,-0.13096274900774874,-0.7392717716900683,0.41367176089656366,-1.079424996478469,0.9605096385742202,-0.5356489655102669,0.03643211760519871,0.28516487011900193,-0.04340911137949299,0.5483983660720033,0.7562007287476646,-0.33915804068225985,-0.07828895050378892,0.6636135718147633,1.3440674137255155,-0.2343341495310598,-0.06145418017628135,-0.04709382172256271,-0.06891132401084166,0.00022013553178767964,0.28615477131499323,-0.19008171211615865,0.08349034740543626,-0.922967469131784,-0.05074130704058444,-0.9043826879907604,0.300156526567954,-0.7147656384388259,-0.5798863902157976,-1.5575101708262162,-0.45669194350313314,-0.16671140589946787,0.5282831896405991,-0.2294576435813216,0.5254313113879321,-0.7464629649405823,-0.2131927008951049,0.5586332886202132,-0.36289024269556847,-0.4288258301695571,0.630466740087261,0.6677355404532153
