,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call,de la,de el,o que,s que,a que,os de,que e,que s,mente,que l,de su,e los,as de,a con,en la,e que,es de,en el,iendo,ament,aquel,ación,de lo,do de,e con,o con,que n,ue se,n que,e hab,encia,e las,la ca,de un,iento,que a,mient,e est,ombre,ue no,que h,to de,iones,ndo s,ndo l,lo qu,ar se,ón de,s con,señor,os qu,cuand,n los,por l,quell,o por,que t,estab,con l,ra de,staba,que p,a los,orque,ue ha,de es,do se,do en,entre,el co,es qu,hombr,te de,el ca,con e,iente,ión d,en su,no de,contr,ue la,que d,cione,e una,ue es,uestr,por e,que m,on la,parec,se de,n las,los d,de qu,mento,a par,ar la,os co,los c,la co
10,subgenre-current,novela romántica,other,100,5gram_chars_word,zscore,1,0.0,-0.06172300300704525,0.7206644519136802,0.16027316886571163,-0.5128300671094119,0.9944832452193157,0.3051786504650773,0.2976696404994551,-0.49100348434083163,0.16179512313436106,-0.09015776666575093,-0.7847888406045088,-0.3407594301492931,0.17669673070953396,0.5098096678779701,1.7653233978205245,-0.45940072928328934,0.5084195459220675,1.0403471763232908,-0.3437219362742229,0.16973357943199008,-0.19670018517024646,-0.06200293027506265,-0.14232615497451895,-0.015107621509851565,-0.2538418102343071,-0.4763050627427933,0.5455456569128422,-0.24213487783201038,-0.44429688368368037,-0.12601008422318427,0.09265556355700622,-0.6764259915860362,0.723792253574016,-0.00494168133744588,-0.2100696616303015,0.08618594295775339,0.08203960208884808,-1.352553559434472,-0.5073605512133885,0.9920436526576821,-0.44891855923750346,0.4457827866070523,0.18991593385364358,-0.029922781493690875,-0.08579125176028991,0.8104952566144417,-0.18157646857583254,0.39466246721348663,0.19523097214892293,-0.4883439338007208,-0.37830902880562767,0.6434580113683204,0.4063731825231709,1.0091335198095677,-0.5762385284957552,0.10069849789289742,-0.47207383508111306,-0.20343437373503975,-0.35150494525742104,0.888613637226708,-0.1359344365083222,-0.2429155192960385,-0.1541938592173413,-0.8266452394730457,-0.22364828914323753,-0.48213873198894897,0.23337790260052638,0.7300849727115589,-0.34361751018707376,-0.3152693631267252,-0.370622713516673,-0.22132066676486273,-0.7505526284429731,-1.1677278568825837,0.7248357621895885,1.4192482881619606,0.23607387115310985,-0.354173406115858,-0.27990259398841566,0.0972234123473864,-0.21776132392547332,0.010540923460230056,0.1949810554603122,-0.8741414105674945,0.11720031792958802,-1.541320191814202,-0.08232828487697907,-0.31795658863711473,-0.4255773596932698,0.4273504766362606,-0.1326372994697841,-0.12513067189423094,0.5120079847654482,-0.3674449270295693,-0.39030491069473205,0.41161046316778677,-0.6473179792620997,-0.21645373572661475,0.1037048188020896,0.12187430338314677
11,subgenre-current,novela romántica,other,100,5gram_chars_word,zscore,1,1.0,-0.043354030061527604,0.9838985270992584,0.2581480253425699,-0.6053392001109803,0.7494995364213692,0.25829054522828554,-0.2403380790435452,-0.6289488641601985,0.2605208876820295,0.13453142882763486,-0.9056768650983592,-0.5426865767027476,-0.003902055959217221,0.25929208519551933,0.883426227546821,-0.3380248524451686,0.00836218786723475,1.191775743777428,0.03816615866538989,0.35702583949315125,-0.21348491161951044,-0.2879219409245606,-0.1612530162506024,0.1417611289519356,-0.23161609178954146,-0.9493333271160278,0.7635965056342022,-0.3601058484044945,-0.19966616333256512,-0.0017272177231577313,-0.03712985535187191,-0.4090244759267266,0.7224664667758544,0.06324033335222284,0.06359480496918066,-0.02187750932243443,0.1226453291806309,-1.13841113030947,-0.5046498125398047,1.2590999771745433,-0.48079951566373536,0.9820298480508624,0.36383340672488035,0.1668638974893501,0.1610177593439612,0.768331603013034,-0.01986744265155005,0.4632318894044075,-0.12346358228757881,-0.3588961247024167,-0.34977255852772826,0.8670147541024378,0.38922515305684613,0.8404930663106804,-0.45429107037462646,-0.37125537048568485,-0.2295842779077819,-0.09674494509661202,-0.3647218225754376,0.49249576257292466,0.0759902973488567,-0.36011568619844736,-0.14717221844785433,-1.2612987143634706,-0.25516382517105407,-0.4954861503856794,0.5061366697959535,0.06174602045119959,0.01549982913357606,0.03958741948288694,-0.6915411812195676,-0.3791913626845398,-0.9600718664846196,-1.035553349626445,1.0744513863074963,1.6391413962302648,0.2482753811200561,-0.32744888086041013,0.06505834265353089,-0.16730069656905777,-0.3173371872007531,-0.06351483304922068,0.35036342798749665,-0.6749608816208021,0.11314510384881665,-1.7999476060651813,-0.19361536152727182,-0.38179559417909875,-0.38307574559942303,0.14003643898627138,0.14266768395944895,-0.4013667170250026,0.4955941857156101,0.02187558312997656,-0.3586417008261287,0.2078004090164336,-0.7582093459860313,0.6535106337808564,0.41491689255133535,0.127177098991186
12,subgenre-current,novela romántica,other,100,5gram_chars_word,zscore,1,2.0,0.4126049736024354,0.7359195547395578,0.2994452549238329,-0.3877821125144465,0.8516709626147653,0.45363776123104826,-0.33323939040817385,-0.6083694828189224,0.0481163655165201,-0.1573428833855941,-1.0631203704491403,-0.810089010984594,0.13943682354519515,0.3587961835868352,0.9515286167907708,-0.41764462473609265,0.3798741819389204,1.0226889015647953,-0.18628884281006608,0.4694156000419336,-0.16624853389752492,-0.012994416665437103,-0.4546924107160536,0.023096552580205154,-0.27199041206870267,-0.8334644680231704,0.5054574519826954,-0.2651601750796224,-0.026083870058724284,0.0944362903369047,0.17301492366507693,-0.6353925125715911,0.6640284416243153,-0.21445995457474187,-0.04525521876619015,0.1173982549011281,0.40149170614256474,-1.279992752082642,-0.3983454921035023,0.9464626356782714,-0.5244382221184266,0.43890309409575234,0.2710403330841086,0.16579990765666358,0.023276866088515813,0.6320846137315597,-0.21352847539385877,0.6174141347307933,0.20826882315651585,-0.40094068084265194,-0.27528157999764585,0.8969889028469069,0.4794219026409464,0.9258813443360067,-0.37723892682023413,-0.1590819171303356,0.04592395091768098,-0.0009777785740348044,-0.1617893107582713,0.7634240027452192,0.05123044884124306,-0.40981509675288297,-0.15907911165934252,-1.2701898678625974,-0.4775453931948227,-0.775700232984074,0.36043697947695397,0.19097651244533254,-0.14258247433351978,-0.22675953597366505,-0.7902593076671337,-0.07887240777465288,-0.9455257039530579,-1.2014881919634521,0.5401104104146455,1.4858597721816629,0.15026555635998945,-0.6426989387798345,-0.43971123617468727,0.07399586562063704,-0.24801357259935464,-0.28506132427866965,0.5721400098546341,-0.6397315453703509,0.12784571592778532,-1.4567318368269195,-0.08205006016434957,-0.3332877844591152,-0.23017162366423616,0.16651695731976135,0.33430476807720866,-0.1481580861659897,0.7703126863985799,-0.37718045145714885,-0.643736652643505,0.15217736878063348,-0.6696976389287534,0.055552282471238335,0.3372149280108968,0.16603989448987758
13,subgenre-current,novela romántica,other,100,5gram_chars_word,zscore,1,3.0,0.24490306155255004,0.914926151791057,0.17681929485470677,-0.45704686506637493,0.7172549566155271,0.4858281848778314,-0.3681887351976011,-0.6825546058228852,0.11779135221465115,-0.10515051938671112,-0.8893620373923306,-0.6762858952684981,-0.15328246360059444,0.45882297815225287,1.3046847629804281,-0.10197765114108195,0.3547957453133691,0.8429845028676451,-0.17109103513715135,0.3569111405628752,-0.20547683791258897,-0.27304517626823666,-0.2776705213412199,0.042546309692447576,-0.0756151385398634,-0.8110554913574797,0.5747977884429821,-0.40296514844635184,-0.2512011490807389,-0.09589124343099614,0.26113787402823646,-0.7533231218661596,0.8460467554843093,0.026845273067105213,-0.2504893337436691,0.044697038987160584,0.17197661733648462,-1.184693538953594,-0.749643745318515,1.0533083512786436,-0.576329535896878,0.7053232260796041,0.39861971138018937,0.14019269002039653,0.04684630663531342,1.0104632958514268,-0.14316627966666834,0.585507369735068,0.015088657806316907,-0.5481355703276503,-0.1989161462704978,0.8629782932667618,0.48677050664412547,0.8669893364213255,-0.676616293291847,-0.164304210473319,-0.23177203401667326,0.06677396040536829,-0.1626870194930763,0.48415918026908256,0.14703007961161307,-0.535008183435648,-0.134052079051482,-1.1006691587570547,-0.395354182725849,-0.7635389792901262,0.32728181868577155,0.6853030908659397,-0.3433036109068566,0.15058548461160953,-0.5669333073327426,-0.24469864975611588,-1.1036635324607478,-1.3000398413459269,0.5600286240319559,1.5936465397639494,0.1816410093638216,-0.6248870321172243,-0.10984569392448751,-0.05118679635538581,-0.4758605636304673,-0.02994164219515824,0.5444661321038489,-0.5791902527892355,0.19411532915501076,-1.5571108164084762,-0.13737650187320732,-0.31929036170421377,-0.3229823631109718,0.10699381119798734,0.27497923225299736,-0.28361761747395137,0.7417006425269158,-0.3402247232768025,-0.5703814770930256,0.14194019929719412,-0.6147236295463202,0.10654161558661135,0.4036704963836587,0.08245182855734909
14,subgenre-current,novela romántica,other,100,5gram_chars_word,zscore,1,4.0,0.13126168093312984,0.8085416672909773,0.37431598304304536,-0.3766161144736393,0.6705782785888699,0.34107670417150515,-0.6655821046924179,-0.5930013084938573,0.36572277831119604,0.3789049133447669,-0.6029876145942288,-0.6642108299818752,0.026197350162035837,0.3175700894325428,1.5228819126740292,-0.1710444912367029,0.4465131623005525,1.1992780136749006,-0.1212111581437231,0.3395578099882982,-0.04887933706367076,-0.35924813568933855,-0.535950116817561,0.21759352169540885,0.048606737669938505,-0.5619035644005802,0.5313087371210445,-0.38740189888188525,-0.18367578250381567,0.01714680106208258,0.216064891095685,-0.5809288445294708,1.1578480758045395,-0.109898120710328,-0.3278862568791191,-0.007766345615339981,0.22521521733661276,-1.1563694390852979,-0.48701078125587166,1.108381795825495,-0.6714690809370354,0.4457155040462013,0.3265234097541041,0.2662729253173838,0.1674580178827548,0.8270273185646659,0.037778643713119286,0.6978166067230827,0.33175832885136913,-0.2525087234755995,-0.0024790031760087983,0.7432616649171386,0.4244318809349903,0.602141422853239,-0.48963182200071653,-0.10036568411477764,-0.23480904627758775,-0.22704739662140244,-0.3698341873083789,0.26111104307673927,-0.17449545322382098,-0.5335031347692525,0.0915300427569814,-1.2328155931669225,-0.4753389692071589,-0.8789660257617529,0.5996151479421279,0.4002854564104296,-0.19438458426040095,-0.19932579333909392,-0.7578459572691992,-0.20051017873972948,-1.1642411864373585,-0.918476959307171,0.39986774450424434,1.3257790616508878,0.20899605932271537,-0.4607411693188806,-0.32525296478240984,0.14841124365313935,-0.437696321656322,-0.24917996773821688,0.3305136043002068,-0.7285059321168506,0.23155403571357225,-1.5169867928831844,-0.15845338732114245,-0.5385324537753973,-0.300431822519435,0.06259242485280475,0.17148644405634167,-0.3243302331081377,0.9144220510082699,-0.10997803523425675,-0.5929909319357142,0.206641828788367,-0.6127093502993815,0.03083910822976066,0.46839239775007246,0.1696647658235701
15,subgenre-current,novela romántica,other,100,5gram_chars_word,zscore,1,5.0,-0.005590989782834288,0.9027627391794543,0.15236768095563447,-0.39438951994596066,0.5296420953491018,0.3548013885481372,-0.22234961349703225,-0.5524222368169618,0.1532480506588163,0.17259486915211183,-1.0124615230540661,-0.5843946891292354,0.15981358775115873,0.49085270452072083,1.1508242250015963,-0.2629510612482773,0.41911291196894834,0.868023373313405,0.0658048305960987,0.3914986385565913,-0.20023451690670363,-0.22629638526606166,-0.12371961103688128,0.24061405030620875,-0.21903699234865476,-0.8407383465819326,0.5797787088354753,-0.43581837207155616,-0.26400362963525636,-0.19108750045299,0.19873219828346025,-0.45765524805777547,0.8403807260619385,0.09146121944188271,-0.31894787974122035,0.06843828351949507,0.029119318057574707,-1.0669283551714528,-0.5155105473968367,1.1590699459506384,-0.6389464960121957,0.6954297344425338,0.42496849743109755,0.28805752028305115,0.22492889870814364,0.8173471337603218,-0.23657333953879028,0.6733570658185122,-0.015192118451500869,-0.6762072593675562,-0.14034716145930815,0.8940876470947574,0.5489658659477379,0.7198383369720346,-0.564441047701068,-0.016077752664955758,-0.3733679437841716,-0.028541391451166402,-0.36544777979346343,0.4288273388536357,0.014563468874354696,-0.6750905890309008,-0.18960723589674341,-0.9468693091352863,-0.5345839197016511,-0.630777009585624,0.610188278127602,0.3694073753863404,-0.4208229042858342,-0.17385891997751465,-0.5823454995082054,-0.28934180967249934,-1.159470164133304,-1.3263672798471102,0.775472449380256,1.7115588401292385,0.17784378814247642,-0.6727744174526853,-0.04808814021323057,-0.43149361700564215,-0.38739114592288104,-0.19475303643815017,0.5708278318696016,-0.6204787424630034,0.5387724035373201,-1.7699651364786693,-0.07314397451258504,-0.24318963686762265,-0.4032004606891671,0.2534699355074776,0.2963762988618054,-0.101871116464446,0.8107371455906346,-0.22848689266427247,-0.3346433103483315,0.2793307908331636,-0.5535123248288594,0.010693033931980775,0.1439806508397035,0.35285527629733054
16,subgenre-current,novela romántica,other,100,5gram_chars_word,zscore,1,6.0,0.03165895056748901,0.5282510558958935,0.3100532108433981,-0.4292648802604758,0.8550765506121107,0.2741874952913105,-0.3495905189602522,-0.48388448416034824,0.2069183733647781,-0.09909241527689258,-0.6670729672545684,-0.5280482832969948,0.09545770360255398,0.34275800027603415,1.3773458087633101,-0.06583216178018203,0.5412339727259403,1.1437032587167792,-0.18981755730825364,0.26819337017741196,-0.09506505407557188,-0.18602670293304366,-0.28219593476549726,-0.20993029234620889,-0.09802215107732168,-0.8042736892670131,0.5532333788626451,-0.26133836143491074,-0.2656909569381483,-0.3038220448196134,0.09836292624068146,-0.5217821957024257,0.8699900111618826,-0.11912146839140221,-0.15874898488997408,-0.1677786280800046,0.12005709545361311,-0.9259868863530855,-0.8888405295457151,1.026094546307015,-0.4276250866781758,0.8911517472797624,0.16203740891423968,0.05545494986001489,0.12242659801428805,0.8697261870888572,-0.158202481719382,0.25073057142588573,0.12132942742519955,-0.3328711021233248,-0.10111651018130573,0.74243736589216,0.4860058644449629,0.763813840653824,-0.4079641656898129,0.1538243105493745,-0.17624437639788,-0.04739879147898327,-0.4826739655604559,0.7974283585180852,0.07368752501643558,-0.7010930119046959,-0.32106699609932216,-1.339293523143844,-0.3011836240548717,-0.8100350108259271,0.380394393960559,0.36658259009814637,-0.4450994640789778,-0.08259749791946626,-0.5934731792488169,-0.19673518332794182,-0.7453653496233266,-1.272430607597778,0.3751862560074504,1.72715257979275,-0.07272902963276512,-0.42617824983590874,-0.2365058491182509,-0.11326437240162043,-0.26815573834581535,-0.23372310695245258,0.25987297662857006,-0.6545738466006147,0.07252704797682845,-1.415706913179043,0.06157995840102114,-0.3569086657929335,-0.428242295422955,0.13250784090369047,0.22908554150251187,-0.31978938054953215,0.484774116454854,-0.14123661549329528,-0.49315922480512586,0.17159591580161562,-0.6433094329345138,-0.011023177739678513,0.13928259934375514,-0.00950870968375717
17,subgenre-current,novela romántica,other,100,5gram_chars_word,zscore,1,7.0,0.34759040934825913,0.8110170698707704,0.09697185877526282,-0.43080894420724636,0.8949324149366298,0.4693203404104569,-0.1389588986882836,-0.3191098953869793,-0.1234369785964613,-0.003755332199643413,-0.7090296591250977,-0.7992808087474906,-0.09074880085611525,0.32989062184169193,1.3222238336927834,-0.08509854747992918,0.22366693756982303,0.9698417415180314,0.004603295847208977,0.2697081230280327,-0.2820332311728434,-0.24366204900012556,-0.37448377759607543,0.11126545458670778,0.009018487486772475,-0.7610072421677985,0.5436597324835266,-0.14458346477281298,-0.4106379022332164,0.09900453653133467,0.1789926310179546,-0.5792190245643822,0.7996827826755345,-0.36497212688774117,-0.22965237028542596,-0.001908979278404388,0.07245024637568387,-0.9879151327438439,-0.6018283305414651,1.0378767713651156,-0.7533026533750726,0.8606959594087968,0.4726616134040288,0.3329606373300478,0.19412953807038935,0.8774121531806733,-0.24666572282031596,0.614466885164461,0.07913781702799882,-0.673898236286809,-0.16403960736216672,0.4659045584500101,0.3966746278065527,0.856543957712026,-0.4455041191431448,0.14685261691987916,-0.2690312083720463,0.09772310947843849,-0.24673262710634813,0.6599345825925302,0.21572185995793242,-0.6613750854743026,-0.1766278139241516,-1.4539983386502908,-0.48639346896599966,-0.8797686161792551,0.6622483144306373,0.1425560801550494,-0.15661473618842203,0.11061742568320804,-0.5215434620366042,-0.18666583182181545,-0.9780478789224274,-1.1518961714219715,0.5846210493610337,1.3125460492341385,0.2057631330566254,-0.37045501116592516,-0.1657517219278003,0.10662993874161852,-0.35407259546336733,0.0068581108751542,0.5202280001591506,-0.8386588966229755,0.23617067539093461,-1.812632907791849,-0.31577854386797455,-0.3717950422489273,-0.18435925293903255,0.17131305778007966,0.18474122193128684,0.054205889021970544,0.5745504843504692,-0.30173242795381805,-0.5643390249859841,0.27262588817428657,-0.9314978754860308,0.1994670970953294,0.1755904491954854,-0.040558835918241
18,subgenre-current,novela romántica,other,100,5gram_chars_word,zscore,1,8.0,0.32113901803578865,0.7454201523460463,0.4603591698655175,-0.24517435580131397,0.8964774410287376,0.7257631151031573,-0.17038725151042167,-0.8085416633422406,-0.19372704230805976,0.011020091747923066,-0.7718683633085032,-0.7748318449899843,0.31173462902517235,0.30643701337651413,1.2700664010796934,-0.28979926351526036,0.39849227017534117,0.7616667768668153,-0.1712735714092513,0.08431515830577894,-0.15553276171795943,-0.18309015291127287,-0.326293314138166,0.25996947908743895,0.043019415589077056,-0.7590371092573797,0.572092263004517,-0.4942971760112034,-0.40365167958440656,0.10931640906481555,0.21652068522055862,-0.6485329801972477,1.0031087535929777,0.17986700658668342,-0.09658605542323637,0.04058235663065178,0.21534146470977966,-0.8866688070595815,-0.5281505054285187,1.1238222819005046,-0.7075788116474245,0.8303085229272588,0.4254218292744484,0.1830022237155481,0.29756607586777284,1.0673151178269968,-0.1943764650296498,0.5782895193512457,0.1671808299960642,-0.4372183841640376,0.08316110683867094,0.41850552013504694,0.6046388172326644,0.8902813961541816,-0.45782181100052427,-0.2684897467165108,-0.4359408802002324,-0.08047138411485971,-0.17201945957153422,0.9537094701344512,-0.029555906330362876,-0.7101829410471417,-0.17464347267228186,-0.9568027921758256,-0.44838102391842377,-0.6216651601211661,0.3957291096207701,-0.0654724068692032,-0.491914212809703,-0.14070123635425819,-0.6561932527329692,-0.17430896621610714,-1.1527022296741816,-1.5913375994390333,0.9610197844173237,1.827482692820914,-0.021140663281532593,-0.5609046744320604,0.058752147987772535,-0.255034688872553,-0.5421108316300597,-0.14369276603756556,0.4069065377960741,-0.6260162593631258,0.05834104456832895,-1.8399555178496318,-0.06360945612186028,-0.1964758176519917,-0.4959099367259322,-0.20117785137507888,0.1786094134309984,-0.3119447917033664,0.8157597007700719,-0.3814740430102694,-0.28069782657878967,0.06416871916751696,-0.7253659914940385,0.12827295954495954,0.20998785736301592,0.011001229698592685
19,subgenre-current,novela romántica,other,100,5gram_chars_word,zscore,1,9.0,0.6658060084744997,0.5556754036536473,0.24457443316068872,-0.4484488880287154,1.0644142780229706,0.24866118147007188,-0.37504001277934185,-0.498703398618475,0.40870631904924304,0.12156374415443527,-0.8747464501851645,-0.517238833914285,-0.09269805529192632,0.3399297129874308,1.3619300842970126,-0.27033563292373053,0.310787501755053,1.0079585995865061,-0.017203943494637608,0.3820936795305734,-0.08000197961993183,-0.009912312842375037,-0.23617905159030061,0.26239355268621023,-0.41124442830649266,-0.7450747341058592,0.5267539155685903,-0.2339890146867547,-0.3063681556102047,-0.18545086903120955,0.3010348761112682,-0.6706672217478897,0.5136225123980347,0.07935745314644116,-0.2610766351530809,0.13894152258280168,-0.07053269424464936,-1.3485612848799113,-0.5447643782452569,1.1812517461602385,-0.616939957159083,0.23746144891954035,0.360583315547488,0.3938930566693022,0.31654756222247604,1.1120936872373317,-0.49279391838490993,0.6007269209261379,-0.05326776808825673,-0.45603880536926467,-0.367521734898121,1.0221533971767118,0.167585570443459,0.6116520289818728,-0.4872515489792417,-0.2661942634490879,0.017108460447098794,0.1536578255247789,-0.3488515902811573,0.43094203338168235,0.17960540265930502,-0.3411463540022157,-0.029294585536920437,-1.346454051352186,-0.38655704925565115,-1.0425358819570134,0.6907646918326523,0.3267140222109963,-0.3980146922136576,-0.018693305886051448,-0.6616312870277845,-0.3126065592806848,-1.1310209306914047,-1.3146980809425362,0.5936955561192218,1.6670030500358264,0.0369501817295963,-0.5138821211150851,-0.15298296894279506,-0.39588620386840323,-0.49658024594840344,-0.3099925597527815,0.3993053923293408,-0.5999291457299485,0.3233675682919044,-1.4935747362464207,0.023374025531969878,-0.3927656283926668,-0.2638268438658953,-0.08861023234833065,-0.040285189371928265,-0.2643117114116662,0.6877000075353517,-0.21062885862630987,-0.7054864198785653,0.2743073745655764,-0.4214105835758961,0.4011821623008325,0.35462990310813547,0.007407380279288112
20,subgenre-current,novela romántica,other,100,5gram_chars_word,zscore,2,0.0,-0.06172300300704525,0.7206644519136802,0.16027316886571163,-0.5128300671094119,0.9944832452193157,0.3051786504650773,0.2976696404994551,-0.49100348434083163,0.16179512313436106,-0.09015776666575093,-0.7847888406045088,-0.3407594301492931,0.17669673070953396,0.5098096678779701,1.7653233978205245,-0.45940072928328934,0.5084195459220675,1.0403471763232908,-0.3437219362742229,0.16973357943199008,-0.19670018517024646,-0.06200293027506265,-0.14232615497451895,-0.015107621509851565,-0.2538418102343071,-0.4763050627427933,0.5455456569128422,-0.24213487783201038,-0.44429688368368037,-0.12601008422318427,0.09265556355700622,-0.6764259915860362,0.723792253574016,-0.00494168133744588,-0.2100696616303015,0.08618594295775339,0.08203960208884808,-1.352553559434472,-0.5073605512133885,0.9920436526576821,-0.44891855923750346,0.4457827866070523,0.18991593385364358,-0.029922781493690875,-0.08579125176028991,0.8104952566144417,-0.18157646857583254,0.39466246721348663,0.19523097214892293,-0.4883439338007208,-0.37830902880562767,0.6434580113683204,0.4063731825231709,1.0091335198095677,-0.5762385284957552,0.10069849789289742,-0.47207383508111306,-0.20343437373503975,-0.35150494525742104,0.888613637226708,-0.1359344365083222,-0.2429155192960385,-0.1541938592173413,-0.8266452394730457,-0.22364828914323753,-0.48213873198894897,0.23337790260052638,0.7300849727115589,-0.34361751018707376,-0.3152693631267252,-0.370622713516673,-0.22132066676486273,-0.7505526284429731,-1.1677278568825837,0.7248357621895885,1.4192482881619606,0.23607387115310985,-0.354173406115858,-0.27990259398841566,0.0972234123473864,-0.21776132392547332,0.010540923460230056,0.1949810554603122,-0.8741414105674945,0.11720031792958802,-1.541320191814202,-0.08232828487697907,-0.31795658863711473,-0.4255773596932698,0.4273504766362606,-0.1326372994697841,-0.12513067189423094,0.5120079847654482,-0.3674449270295693,-0.39030491069473205,0.41161046316778677,-0.6473179792620997,-0.21645373572661475,0.1037048188020896,0.12187430338314677
21,subgenre-current,novela romántica,other,100,5gram_chars_word,zscore,2,1.0,-0.043354030061527604,0.9838985270992584,0.2581480253425699,-0.6053392001109803,0.7494995364213692,0.25829054522828554,-0.2403380790435452,-0.6289488641601985,0.2605208876820295,0.13453142882763486,-0.9056768650983592,-0.5426865767027476,-0.003902055959217221,0.25929208519551933,0.883426227546821,-0.3380248524451686,0.00836218786723475,1.191775743777428,0.03816615866538989,0.35702583949315125,-0.21348491161951044,-0.2879219409245606,-0.1612530162506024,0.1417611289519356,-0.23161609178954146,-0.9493333271160278,0.7635965056342022,-0.3601058484044945,-0.19966616333256512,-0.0017272177231577313,-0.03712985535187191,-0.4090244759267266,0.7224664667758544,0.06324033335222284,0.06359480496918066,-0.02187750932243443,0.1226453291806309,-1.13841113030947,-0.5046498125398047,1.2590999771745433,-0.48079951566373536,0.9820298480508624,0.36383340672488035,0.1668638974893501,0.1610177593439612,0.768331603013034,-0.01986744265155005,0.4632318894044075,-0.12346358228757881,-0.3588961247024167,-0.34977255852772826,0.8670147541024378,0.38922515305684613,0.8404930663106804,-0.45429107037462646,-0.37125537048568485,-0.2295842779077819,-0.09674494509661202,-0.3647218225754376,0.49249576257292466,0.0759902973488567,-0.36011568619844736,-0.14717221844785433,-1.2612987143634706,-0.25516382517105407,-0.4954861503856794,0.5061366697959535,0.06174602045119959,0.01549982913357606,0.03958741948288694,-0.6915411812195676,-0.3791913626845398,-0.9600718664846196,-1.035553349626445,1.0744513863074963,1.6391413962302648,0.2482753811200561,-0.32744888086041013,0.06505834265353089,-0.16730069656905777,-0.3173371872007531,-0.06351483304922068,0.35036342798749665,-0.6749608816208021,0.11314510384881665,-1.7999476060651813,-0.19361536152727182,-0.38179559417909875,-0.38307574559942303,0.14003643898627138,0.14266768395944895,-0.4013667170250026,0.4955941857156101,0.02187558312997656,-0.3586417008261287,0.2078004090164336,-0.7582093459860313,0.6535106337808564,0.41491689255133535,0.127177098991186
