,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call,a el día,a el fin,a el lado,a el mismo,a el que,a el ver,a la calle,a la casa,a la puerta,a los que,a su casa,a su lado,a y a,así es que,de el cielo,de el día,de el mundo,de el pueblo,de el que,de el y,de la calle,de la casa,de la ciudad,de la joven,de la noche,de la que,de la vida,de lo que,de los que,de que no,de que se,de todos los,de una manera,de y de,dirigiendo se a,el corazón de,el de la,el día siguiente,el fondo de,el lado de,el mismo tiempo,el nombre de,en aquel momento,en el fondo,en el mundo,en la calle,en la casa,en la mano,en la puerta,en que se,es lo que,la calle de,la casa de,la de el,la hora de,la idea de,la luz de,la mano de,la muerte de,la puerta de,la vida de,la voz de,lo mismo que,lo que es,lo que le,lo que me,lo que se,los ojos de,para que no,por lo que,por qué no,puerta de la,que a el,que en el,que iba a,que le había,que no me,que no se,que se había,que se le,se a el,se a la,se de el,se de la,se dirigió a,se en el,se en la,todo el mundo,todo lo que,una de las,una especie de,uno de los,y a el,y a la,y de el,y de la,y de los,y en el,y en la,y sin embargo
10,subgenre-current,novela romántica,other,100,3gram_words,zscore,1,0.0,-0.3747831614931113,0.8746562846905013,0.5138145618976604,-0.16273454627195552,0.10022922617746721,0.35365138809501073,0.7738774405082749,0.09920180431165515,-0.4533862389668483,-0.20152770110266335,0.23798968448240687,-0.21430460149089015,0.2541715043019683,-1.5631943871019716,-0.8553096797121942,0.2667531987770014,-0.21073613312271838,-0.3799332025261146,0.44469298043684974,1.579811029616648,0.5650428130358037,0.676877492499065,-0.07095586726116737,-0.5270404360213017,-0.9395744252689898,-0.7053871588291183,0.8537346477763268,-0.19782374122252377,0.8157173827740374,-0.9054654877410447,-0.6329611581768706,0.20400959316805892,-0.43243065953549265,0.0734415405505209,0.17806617157877985,-1.1590353604444579,0.7322892047434136,-0.22617316792818631,-0.051374951490191834,-0.294975993926523,0.09294920777591131,-0.14980932461122842,0.00829539838746568,0.9996482520664254,-0.7465356537283871,0.742200864042251,0.7527658165089557,1.130981729259797,0.12231781695461491,0.06902133944121772,-0.0015215065160462116,-0.3780273741429787,-0.5531124327907607,-0.08772072758296234,0.6290198849651694,0.1883261685394634,0.35846337811998563,-0.2790070233584949,0.1290550362714652,0.012394780753665624,0.7082385406279843,0.42523074065463295,-0.33739337267799635,-0.4725943433349888,0.8962375334225622,-0.1615879948233918,0.26411988495882666,0.3181282070163297,0.19243882448958377,-0.20147291939356587,0.47156139750037507,-0.8801177674329148,0.16390436385075208,-0.6060604077675977,-0.996180723289791,-0.11999363543931353,0.1254201979979968,0.8831783215649616,-0.7459924912800571,0.9404706550592289,0.06966893683834557,-0.3083080015825012,0.09255434406031016,-0.3142701867395752,-1.0143448992337745,0.6314369855744079,0.5929830199734197,0.6014353127481579,-0.8846622920052045,-1.0049624220987978,-0.30436480563627144,-0.2061215252263502,0.3390574046943857,-0.8696924952939857,-0.40409844059432926,-0.24878434717797618,-0.08329761731604514,1.0974352628601007,-0.049086997816655376,-0.5445877823873051
11,subgenre-current,novela romántica,other,100,3gram_words,zscore,1,1.0,-0.19570526485558376,0.7521563717035042,0.13169999600790688,-0.222458465433802,0.34120403738712735,0.5413222952680141,0.6790410522260367,0.06749896316045918,0.08704586688885124,0.1452750312505115,0.42435726118694717,-0.321765649476132,0.5946184196901872,-1.2621632770095956,-0.4534448609666191,0.6856115421166102,0.05965930776302808,-0.5236308743706821,0.2823971532226049,1.1435222594881536,0.7264656446011276,0.806303551805928,-0.18016686950637462,-0.518688085996201,-1.1809550137955758,-0.832525746508006,0.6817263434629276,-0.08800937822570398,0.9780757478060715,-0.8269803153503342,-0.5080354045590447,-0.24700119169692292,-0.37682985315651574,-0.05249862646601827,0.1910304220790403,-1.548939295236139,0.8349935997988926,-0.062158005207685774,0.047226546096628574,-0.5376406114153669,0.04147578747425862,-0.09214915139383567,0.027187761341245065,1.2071085419259284,-0.7671217568831921,0.3700099785557738,0.5140821438336247,0.899167002540603,-0.16179176485490226,-0.06679245192908456,0.11454665589656499,-0.3983891268181027,-0.6430548530786034,-0.2890599797641462,1.1434751323681989,0.06323145266553176,0.5822024261374082,-0.28658744386916246,-0.29727348122736563,0.4174154108214142,0.5064189276016013,0.46240262574324564,-0.45247413807716375,-0.5533642553890568,0.8321752979793482,-0.23570575365666147,0.46041394161014987,0.5111976686441351,0.36734265902429736,-0.4233896275228115,0.7880594085501478,-0.8823872222384761,-0.1171912904901874,-0.3054422885321434,-0.48164123274941695,-0.15409145443146907,-0.03510580004948144,0.769037445380519,-0.7668314894579805,1.066601450125545,-0.26684855947919495,-0.02275757346823004,0.023896240719423645,-0.1671071398632245,-0.7894070625152152,0.5621643643235654,0.6047047994066523,0.669918767942092,-0.8534751816333119,-0.6858417161985044,-0.07991983596607954,-0.4889532448958931,0.6044542444041165,-0.996546396835296,-0.3168314383729659,-0.5032531998575323,0.2209894355217863,1.2309921615741515,0.17881714696904072,-0.4426669207398656
12,subgenre-current,novela romántica,other,100,3gram_words,zscore,1,2.0,-0.16721863241932639,0.42380372884927475,0.46936698126001525,-0.1975325530713481,-0.1722714052479376,0.5495832117237334,1.0069958134463604,-0.14802669925610243,-0.6444410701851365,0.07907342151302862,-0.3107221169370493,0.26323341791250154,0.313717156458551,-1.4225744499872404,-1.0336147797512294,0.6259119715404968,-0.07599302266031305,-0.3350771348737832,0.5382179344898605,1.1722883343517516,1.0314625393619652,0.5574863613881997,0.17126177510819157,-0.7178051709744033,-0.7501270619773022,-0.3371649472348046,0.8590066714469599,0.013582389695729613,0.5182349165711688,-0.9983284545354173,-0.7986555159270233,-0.20637002813177208,-0.5304403299517211,0.17007953683817312,0.4730065877226898,-1.1266434247350496,0.7557708399092308,0.3108055548864846,-0.26179792706943156,-0.06391390758416843,-0.012572131972222511,-0.22170395975202062,0.04413019466532657,0.973982991865308,-0.6270012621951832,0.5763315569937341,0.7273062745373677,0.7943239697453202,0.11091007112127729,-0.014706966721823589,-0.23538983414711834,-0.5231001074888182,-0.43788738678239514,0.37358919129651047,0.7020468044976572,0.0156740130008175,0.6741538811498224,-0.18644756925589745,-0.38759661074064855,0.1801657123892091,0.3891200246566124,0.4952288369507205,-0.33915049772626527,-0.521895170591989,0.6074958010735194,-0.22492992478251222,0.43801398554327464,0.0983995857775607,-0.01755685727867129,-0.47559323498494516,0.4145539605940947,-1.054682239919694,-0.014772205930384474,-0.18939104725553257,-1.065063921656209,0.4037762110015046,-0.16659856092524686,0.7691045116256305,-0.561669718399049,1.1529681867190475,-0.20897061477478907,-0.07029006009697658,0.1375544460189878,-0.35183734021082436,-0.8309392679333785,0.7640595669534758,0.5031794859361614,0.7928685054402528,-1.0725164436527985,-0.48113175726116525,-0.2535860082032857,-0.38915539724085857,0.6944740679768414,-1.0883097383730278,-0.40195554259303967,-0.2657386227895579,-0.23030011909553016,1.0098838133275776,-0.03756683911985215,-0.6424692531144441
13,subgenre-current,novela romántica,other,100,3gram_words,zscore,1,3.0,-0.40142616543118625,0.8651348863855286,0.2422817837772667,-0.30627272869951205,-0.08727980525172395,0.6169286445355717,0.9253845759770752,-0.12507629992934272,-0.5312603619801645,0.13460967407482,0.2969486033743467,-0.2508293149900689,0.2864419741194299,-1.5477779285223725,-0.5114386144501477,0.6330978163072567,-0.07826487007930044,-0.21956975530913928,0.38846615239400617,1.4247880016773025,0.8426922951591841,0.7800875143673207,0.1638293419110258,-0.6829351295328657,-0.7455859611271294,-0.6146587624994662,0.8776432742234803,-0.31622960829977875,0.5592780978786928,-1.045366467747407,-0.6021256412573383,0.08661951905057785,-0.7270960531460274,0.3759428896700484,0.24206010016282958,-1.2334237996291755,0.8166193810918566,0.15803410758109887,-0.10544405482818214,-0.12875675652524426,-0.2600674800232053,-0.06846306173815413,0.47625362356523293,1.0339183576351214,-0.5787310697800951,0.43655887914123626,0.4292423753794002,1.254231029626372,0.2578475623790808,0.04223658380789705,-0.04037432495769977,-0.6878204115477318,-0.5058259893872494,0.31400025315986346,0.8964996652758199,0.5386548655369339,0.9276064689669141,-0.3475904321099219,-0.2928502812356197,0.27783349793847,0.22459736689677107,0.24666983801276057,-0.36776328784002676,-0.38290457235638586,0.8871474817032093,-0.14122192380771853,0.8684457346658607,-0.03186392775787272,0.3804295746615727,0.07828711330866453,0.4727149169406232,-1.0934624473284913,0.02624125806581562,-0.33709558822126356,-0.8975442774563359,-0.12248075941740923,-0.23960425717473866,0.7674304835148676,-1.1130394466982898,0.7918969555770298,0.37668234538660206,-0.11813137833307798,-0.18253759563070793,-0.45043513804354973,-1.0960185019011612,0.3070494086730739,0.2998859466235973,0.7281145114525106,-1.0874454550622503,-0.6808332256729894,-0.4198871345390489,-0.2126396343586866,0.3628288744203594,-1.3388908053243167,-0.817968748602178,-0.4929037692046272,-0.028149218787239444,0.6436657065268439,-0.051067311293249484,-0.6947347724449593
14,subgenre-current,novela romántica,other,100,3gram_words,zscore,1,4.0,-0.46710929890163144,0.8029660452400949,0.052759127015510277,-0.2300063390046455,0.0406630256263103,0.5814954394800772,0.9710809622285208,0.029691694921335138,-0.5660214635789687,0.149641152028417,0.12508208500096596,-0.23870635247465635,0.36941754720573833,-1.5920377073467988,-0.725494896644646,0.426547205739549,-0.15370525872535906,-0.3477304729892053,0.6991975231023012,1.1560188777084714,0.929410981353084,0.756323023970268,0.16571091928097334,-0.6018778349640074,-0.7267877042256521,-0.8739313565056905,0.9171832965875574,-0.016557378886424834,0.8387449274222565,-0.989979866959229,-0.7348155356701263,0.3957065031177509,-0.4938660816046163,0.34431013479709793,0.26772454118702915,-1.3613258466099738,0.6842452368174946,0.10353134347563142,0.22606284017931366,-0.11717254772046667,-0.20840658930638808,-0.2522388006682551,0.30230908399104794,1.1297997424627182,-0.7850039268746429,0.8762518773047544,0.6988016334948645,1.218392467555077,0.0773397034923961,-0.010883019836086957,0.1175451242781978,-0.4090428217772844,-0.3617697673964517,-0.08783645638685483,0.7962328207300895,0.14076973184363242,0.7917312767753605,-0.04176384156219093,-0.25166331771084305,0.4230772244800899,0.42827127567258894,0.31440585772250307,-0.45446023177531203,-0.2753769021772992,0.9278118941876539,0.04796696825378188,0.5731783984872335,0.05549796189923528,-0.18611547419403887,-0.07002202010416075,0.5780255439013321,-1.0923487716954599,0.12542907283034666,-0.42647017244986885,-0.8741046529150934,-0.23367166342991375,0.0456070912786935,0.880411943593943,-1.1122898140334627,1.0950003601589136,0.060431736145501624,-0.13790305620070337,-0.11553985065764061,-0.20951355166893515,-0.8714812088162325,0.4292190342181813,0.669653194408524,0.4572919229141388,-1.2950484935723237,-0.9337142521090815,-0.20716524617492527,-0.4370012210176566,0.18132489891544346,-0.6631860719206369,-0.7675990779149789,-0.34938381994804063,-0.08898090581560411,0.6122731019674118,-0.12367190388733629,-0.6315738074979248
15,subgenre-current,novela romántica,other,100,3gram_words,zscore,1,5.0,-0.9575490724639916,0.8090463840821445,0.4053327998427892,-0.22690396005206964,-0.19523273163929983,0.44758633030480544,0.8031823938516625,-0.3710366069155812,-0.6482521185686086,-0.12588489523406315,0.03971738612768315,-0.23674589472607702,0.5850789718267388,-1.3493875135202988,-0.7475376735708967,0.49394999010310775,-0.0722782165605967,-0.35386605618249123,0.7248446172208112,1.0483903138026083,0.7240438587887003,0.5821311764026981,-0.14599342297029755,-0.6776067797831081,-1.0590681259252483,-0.8642424199052832,0.6019090912940915,-0.16555994104585806,0.8551277271148413,-0.4892242373516914,-0.8542676660442119,0.3358350364247104,-0.6054341647798784,0.11938944792217324,0.1639421552293141,-1.1856742513042091,0.8807838841819137,0.01521732793686361,-0.02957259131788074,-0.04283508061611528,-0.18971637279815945,-0.1610029178280421,0.16840519342225366,0.8827021536975789,-0.9249067956360458,0.9421354723639456,0.35640082368182585,1.123233603586168,-0.3607724786865453,0.12732965102861424,-0.15874895391105995,-0.30332616516247113,-0.41548925002415066,-0.20796122096660716,1.0169958409544397,0.17798961424619938,0.5394292914467443,-0.4878006303061844,0.1182649393944964,0.3822735736533801,0.6832825370353757,0.2421546754135434,-0.5063798375464739,-0.16557009220059526,1.1277526081958358,-0.19255285499270272,0.3401634042302347,0.19172359043715825,-0.0032970412961232636,-0.20438916163674894,0.6344905091105089,-1.072973521374847,-0.11747789337712933,-0.41691753393130176,-0.8707508524935913,-0.08452131652143767,0.19066406174133227,0.4255201188668396,-1.0026745743686054,0.7124065575627265,0.13760007067896635,0.1371379502907987,0.1033922287413309,-0.6197184396002745,-0.841654579970986,0.3960134584711524,0.704385237019459,0.7257222402636478,-0.7248753002958876,-0.5226482705659746,-0.5729520874637717,-0.03149687979743809,0.3525569084061947,-1.019127118505728,-0.31515873759950896,-0.05868703285483112,-0.536032638321885,0.9465296995732637,0.2177442631065472,-0.6238508750733419
16,subgenre-current,novela romántica,other,100,3gram_words,zscore,1,6.0,-0.6906995415043387,0.7374608371914821,0.2779345987739613,-0.3618425382763812,0.22899741421874492,0.42981881188940063,0.8672019449799255,-0.12483052729881705,-1.052068187473442,0.061788829960621794,0.3242247120371347,-0.09575472505853763,0.5130148978572194,-1.4722007873824374,-0.6321541333715703,0.3657669375331386,0.03511487312002749,-0.2050788243193226,0.6433592859359687,1.2124130405412819,0.8117438181947079,0.7741556685331961,-0.07281175945349153,-0.6314971151155698,-1.194019771348159,-0.36465189552629107,0.9514158286741076,-0.2710664483059195,0.8256659735173634,-0.6616498414829826,-0.9557650606915419,-0.016128204293042375,-0.6094882970978155,0.24391954026137136,0.47451244853202457,-0.9153398495970037,0.7370863338976366,0.1535198298934285,-0.15114128249980394,-0.40891572469829995,-0.14913141476141328,-0.20958182513924448,-0.02069764084950296,1.1027596040046344,-0.904279762408411,0.6201853293700497,0.6878878105642806,0.901096187708745,0.11168778212152247,-0.056012572292535784,0.35575691376206264,-0.6738884329138177,-0.6652805206090349,-0.07173936081310993,0.9468710111874414,0.07421835315421615,0.7915649213197309,-0.24202011630805825,-0.1570428392319311,0.5476059009452013,0.27558316955934326,0.6496786551259923,-0.18546467338136835,-0.47501092532136174,0.9416006727470201,-0.06837252117211123,0.6702663914150511,-0.0026789434014325673,0.015440022858015295,-0.40018874664147647,0.4685665945927392,-1.1169627807371278,0.051324257555416,-0.37275784830460507,-1.011322247884739,-0.3237110228644461,0.12849619136605506,0.6554643254359208,-0.8185799696612034,1.014435975297857,-0.2583646718324746,-0.17135036914732443,-0.05210198541540076,-0.18691625920338756,-1.024483170671712,0.47518218868922,0.8577335350323996,0.479974267760265,-1.2351376768568547,-0.8078270781534802,-0.13174901623677582,-0.3963794935811644,0.22151848011794834,-0.7781479341863806,-0.72417893200086,-0.32321681300196603,0.1465298079018676,0.9839290426817859,-0.004494562991756879,-0.45805996378202357
17,subgenre-current,novela romántica,other,100,3gram_words,zscore,1,7.0,-0.3323885091783473,0.8179083577068826,0.30948361574579974,-0.2526271105691762,-0.1139417717236163,0.4328273679774697,0.6686005250335924,-0.3428271628469252,-0.6160545262092497,-0.12802327591160084,0.31232177659839466,-0.6336242753062904,0.40238952701242436,-1.7937988121392072,-0.6417056290504064,0.46653484443477855,-0.18448442941388654,-0.4701760486074027,0.24261006254560888,1.184364266106952,0.7609750952771389,0.4017596339278584,0.09736425041810591,-0.7733810337558473,-0.5919502355823043,-0.7157017620198076,0.5812076547790048,0.09098481101852429,0.7706689607284039,-0.2924934886460582,-0.47508329067431176,0.32163885047923485,-0.9203582708794885,-0.08238040269418849,0.21321280942397913,-1.209506636525466,0.8288961154638891,0.25468501908815877,-0.1185777781813603,-0.17076002307527038,-0.07159942335912328,0.3280093475707372,-0.5071538721248815,1.2959170616729618,-0.9549008814588824,0.7134909310814465,0.3756251988068564,0.5802496955874181,0.5087815738611544,0.22216846090819886,0.29483662871278016,-0.5784905047091822,-0.20117070106717078,-0.29693317348581794,0.9051963607290698,0.12028293323498784,0.4997183866310106,-0.12066750872960941,-0.06791956026288337,0.3794857800917055,0.6952608398638949,0.33457624309759026,-0.28524370594991477,-0.512441089866639,0.8268291830648603,-0.17349679342986424,0.2941505729163966,-0.06251817875813881,0.6368670895124398,-0.008935489727696769,0.20951385901509756,-0.855504495592417,-0.1046469052751188,-0.39112977114457625,-0.721553257520674,-0.06416344522338369,0.11393270669623937,0.7139601478841942,-0.6491114220615477,1.211147278434406,0.11382952131102714,-0.22198367958190524,0.028782848274693407,-0.43407928097705684,-0.7732642562042265,0.5838719517724542,0.6882415227312617,0.5282943787196197,-0.8195885093304337,-1.0385471439039233,-0.14754298349883493,-0.6750899187437208,0.39536928569641394,-0.9258080112597987,-0.5295965853627456,-0.16032928521211065,-0.5041091558384032,0.5781592354171362,0.2014659824265197,-0.5680554781383781
18,subgenre-current,novela romántica,other,100,3gram_words,zscore,1,8.0,-0.3449473188437793,0.6708719114129056,0.30939891729127056,-0.3903871227867144,-0.358996405769441,0.5586497354972938,1.2197831871937521,-0.3907049902987807,-0.0916892244493645,0.004723882312789307,0.3335823953792434,-0.0982404288166292,0.5724445098742859,-1.3706850134714355,-0.3821859813205946,-0.006333682859860187,-0.05759943622443794,-0.4482587172205433,0.5728076023554685,1.3786466053730704,0.6448609640806662,0.7727052694966696,-0.0704110679145605,-0.679504519664347,-0.7909734358824893,-0.5970086444962555,0.7238055125429712,0.1891118197123295,0.9208234431407607,-0.8977450085755306,-0.7723182230942774,-0.15333562300727516,-0.7295549356427257,0.09842867725799351,0.0065464721166415,-1.126838428863431,0.3170644141955892,0.46862979526432685,-0.44338994483247945,-0.3328909290089123,-0.1720896569914026,-0.26602552559922943,-0.07120603944534679,1.052201800103828,-1.004891991549132,0.7281564430412064,0.46968471540229556,1.320920502680568,0.0821368928681934,0.17454981436519315,-0.12047041591236352,-0.3889531676962673,-0.4808496958376922,-0.053240600509579517,0.7187925873117159,0.2571965581066438,0.7615718463156906,0.06313010186905663,-0.056601856927690285,0.212216054301126,0.7117470450086596,0.27341316258367104,-0.4718959615930284,-0.43161335983918836,0.7370119783892393,0.25465567987867793,0.5083311858898406,-0.5317766281759198,0.07964635533454494,-0.44492139733234903,0.442397726760172,-1.0564599392869904,0.1788110369245553,-0.6726041858238088,-0.9148128096318955,-0.19620008659924393,0.06281616193897915,0.9518321219397319,-0.7727587601763443,0.9330712780768587,0.31478411176122867,-0.11981462787109051,-0.4652161207932429,-0.5313650699066746,-1.0478358614124235,0.45978869963589564,0.6841982918754321,0.16820150927724614,-0.9843784417532746,-0.7754179487201792,-0.03471833178465977,-0.3234297977370416,0.5567869788554766,-0.593368350368721,-0.5383375363112056,-0.4894736863119977,-0.17296749918401577,0.8875804323909535,0.1973655425095846,-0.5699948298520916
19,subgenre-current,novela romántica,other,100,3gram_words,zscore,1,9.0,-0.0995054912745268,0.8847808463112206,0.1585721090257488,-0.3455218650931719,0.4236239507546666,0.504795876787569,0.8977083532423946,-0.27825444688415785,-0.3887885332451394,0.10238813886184073,0.2681081567760534,-0.5526841953994732,0.6080660971539666,-0.9718902368110075,-0.7249296578200078,0.49304038881816326,0.01463958646697654,-0.46806251181873904,0.5367937784865621,1.4889641578534847,0.6628354121075523,0.5098887467238514,-0.1440017978001668,-0.12084923121898619,-0.9513850599173838,-0.3857720483785113,0.8181703903435538,-0.3143505893803671,0.5594890607643412,-0.8370381594632414,-0.6157802148255638,0.5811526416446956,-0.8184953176551651,0.11214456613510639,0.37052739106423677,-1.3691146438732624,0.8735015095961479,0.12174669802889249,-0.10401658264996083,-0.2566137063520208,-0.36857376888200705,-0.11739504161597117,0.18535217889035813,1.1092162834009809,-1.2517594142826847,0.9965855702349674,0.7582584175001374,0.959479340896466,-0.04908950203785556,-0.2764340819633297,-0.27011951542497015,-0.40085761769142914,-0.753758510361963,-0.31166476821274236,0.8514336873187334,0.1629033309150988,0.4770135348222948,0.017901081989297025,-0.21433796378802034,0.14122909956404903,0.7234275569908823,0.2903880893730113,-0.3904085023014231,-0.12325357979044768,0.6176574125830747,-0.24724145072043158,0.6282019624589155,-0.11848080438505876,0.2589988208631335,-0.20109581643957933,0.409236171222288,-0.8806991298443543,0.31915891197440677,-0.42259692828030404,-0.6116318022728768,-0.10946236475730901,-0.11846614049794132,0.829909570846396,-0.9298025184945954,0.579319439118394,-0.24478489369008502,0.16716864157154576,-0.4008109529660155,-0.2409145879579288,-1.0297204101444686,0.316637757809465,0.9886427283855921,0.6418141919644287,-0.8904123095582014,-0.8165805557007441,-0.2603367708297055,-0.4223049340649688,0.3189076432168241,-0.7582093733645738,-0.6612013877023851,-0.09165860274382184,-0.25079960673420654,1.0605175546811554,-0.29691058221453864,-0.6566722151722151
20,subgenre-current,novela romántica,other,100,3gram_words,zscore,2,0.0,-0.3747831614931113,0.8746562846905013,0.5138145618976604,-0.16273454627195552,0.10022922617746721,0.35365138809501073,0.7738774405082749,0.09920180431165515,-0.4533862389668483,-0.20152770110266335,0.23798968448240687,-0.21430460149089015,0.2541715043019683,-1.5631943871019716,-0.8553096797121942,0.2667531987770014,-0.21073613312271838,-0.3799332025261146,0.44469298043684974,1.579811029616648,0.5650428130358037,0.676877492499065,-0.07095586726116737,-0.5270404360213017,-0.9395744252689898,-0.7053871588291183,0.8537346477763268,-0.19782374122252377,0.8157173827740374,-0.9054654877410447,-0.6329611581768706,0.20400959316805892,-0.43243065953549265,0.0734415405505209,0.17806617157877985,-1.1590353604444579,0.7322892047434136,-0.22617316792818631,-0.051374951490191834,-0.294975993926523,0.09294920777591131,-0.14980932461122842,0.00829539838746568,0.9996482520664254,-0.7465356537283871,0.742200864042251,0.7527658165089557,1.130981729259797,0.12231781695461491,0.06902133944121772,-0.0015215065160462116,-0.3780273741429787,-0.5531124327907607,-0.08772072758296234,0.6290198849651694,0.1883261685394634,0.35846337811998563,-0.2790070233584949,0.1290550362714652,0.012394780753665624,0.7082385406279843,0.42523074065463295,-0.33739337267799635,-0.4725943433349888,0.8962375334225622,-0.1615879948233918,0.26411988495882666,0.3181282070163297,0.19243882448958377,-0.20147291939356587,0.47156139750037507,-0.8801177674329148,0.16390436385075208,-0.6060604077675977,-0.996180723289791,-0.11999363543931353,0.1254201979979968,0.8831783215649616,-0.7459924912800571,0.9404706550592289,0.06966893683834557,-0.3083080015825012,0.09255434406031016,-0.3142701867395752,-1.0143448992337745,0.6314369855744079,0.5929830199734197,0.6014353127481579,-0.8846622920052045,-1.0049624220987978,-0.30436480563627144,-0.2061215252263502,0.3390574046943857,-0.8696924952939857,-0.40409844059432926,-0.24878434717797618,-0.08329761731604514,1.0974352628601007,-0.049086997816655376,-0.5445877823873051
21,subgenre-current,novela romántica,other,100,3gram_words,zscore,2,1.0,-0.19570526485558376,0.7521563717035042,0.13169999600790688,-0.222458465433802,0.34120403738712735,0.5413222952680141,0.6790410522260367,0.06749896316045918,0.08704586688885124,0.1452750312505115,0.42435726118694717,-0.321765649476132,0.5946184196901872,-1.2621632770095956,-0.4534448609666191,0.6856115421166102,0.05965930776302808,-0.5236308743706821,0.2823971532226049,1.1435222594881536,0.7264656446011276,0.806303551805928,-0.18016686950637462,-0.518688085996201,-1.1809550137955758,-0.832525746508006,0.6817263434629276,-0.08800937822570398,0.9780757478060715,-0.8269803153503342,-0.5080354045590447,-0.24700119169692292,-0.37682985315651574,-0.05249862646601827,0.1910304220790403,-1.548939295236139,0.8349935997988926,-0.062158005207685774,0.047226546096628574,-0.5376406114153669,0.04147578747425862,-0.09214915139383567,0.027187761341245065,1.2071085419259284,-0.7671217568831921,0.3700099785557738,0.5140821438336247,0.899167002540603,-0.16179176485490226,-0.06679245192908456,0.11454665589656499,-0.3983891268181027,-0.6430548530786034,-0.2890599797641462,1.1434751323681989,0.06323145266553176,0.5822024261374082,-0.28658744386916246,-0.29727348122736563,0.4174154108214142,0.5064189276016013,0.46240262574324564,-0.45247413807716375,-0.5533642553890568,0.8321752979793482,-0.23570575365666147,0.46041394161014987,0.5111976686441351,0.36734265902429736,-0.4233896275228115,0.7880594085501478,-0.8823872222384761,-0.1171912904901874,-0.3054422885321434,-0.48164123274941695,-0.15409145443146907,-0.03510580004948144,0.769037445380519,-0.7668314894579805,1.066601450125545,-0.26684855947919495,-0.02275757346823004,0.023896240719423645,-0.1671071398632245,-0.7894070625152152,0.5621643643235654,0.6047047994066523,0.669918767942092,-0.8534751816333119,-0.6858417161985044,-0.07991983596607954,-0.4889532448958931,0.6044542444041165,-0.996546396835296,-0.3168314383729659,-0.5032531998575323,0.2209894355217863,1.2309921615741515,0.17881714696904072,-0.4426669207398656
