,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call,o de,a de,s de,e la,de l,e el,de e,a el,ente,ando,e de,o qu,a la,para,ment,os d,a co,n la,a qu,esta,s qu,ento,e ha,e lo,de s,la c,e su,ción,el c,n el,a en,en l,ante,ient,ue e,en e,o en,e es,como,o se,e se,e co,n de,ue s,abía,as d,a ca,e en,o co,ue l,habí,e qu,el p,do e,s co,cont,r la,enci,entr,a su,e un,ncia,es d,endo,la m,iend,pero,r se,a es,ella,aban,amen,os p,os a,aque,la p,o la,taba,todo,os c,ar l,ntes,quel,o es,do d,do l,o el,n su,de a,el m,do a,r de,a se,do s,ació,s en,idad,e no,a un,ombr
10,subgenre-current,novela romántica,other,100,4gram_chars_word,zscore,1,0.0,0.26103748535030924,0.5841170138726102,0.22421092473164483,-0.6506536262841869,0.012833833237160974,0.21250771143865466,-0.345828133343103,1.5153298382302192,0.7526362283941836,0.26250951966236546,-1.0180259361853736,0.108845597584797,-0.1731760069555281,-0.2616858546807056,0.364743218820859,-1.1515346270899298,0.47207632851225223,0.762997465297265,0.500672098328915,-0.9159030251323792,-0.34339302997879406,-0.8666960185166097,-1.0866175656415562,0.7148335888212181,0.021235251028233093,-0.20190200406938236,-0.6938535623474861,-0.17872418271000134,-1.1265920258923492,0.893145351957463,-0.38389976287104843,1.1776497603396607,0.8587547912692902,1.5698328607144731,-0.5999379923699246,-0.2967244458483841,0.09431562274445282,-1.099288123924789,0.7834867713925249,0.3811387195911566,-0.3168134977527491,-0.1594953275614931,-0.24293651782852865,-0.7147617191205691,0.16116072566849737,-0.5731813982561214,-0.12191388237238698,-0.24038261801265054,-0.9252960221513972,-0.18242363968990816,-0.06649194662224078,0.14404198796171724,0.12062293585804221,0.6447972601914324,0.40581608181369877,-0.33819748723985477,0.3480908702849846,-0.009441512853385459,0.3101236208705348,-0.6384275992279438,-0.34029500058334605,0.08182517928931865,0.13689680570582108,-0.43497725048370534,-0.41313628820832443,-0.16698203250810106,-0.7993858640975563,-0.08627407230998807,0.5252182575905083,-0.6216256334864785,0.16605497185687174,0.12323765318985813,-0.7963687273337807,-0.8439053471766953,-0.051294296354805646,0.07218345940410711,-0.29022097162197286,0.6637179165353294,0.46928266406561575,-0.12546275964866704,-0.49883392349292516,1.132173968243254,-0.11974636706422626,-0.445405236862363,-0.7442031046677933,0.043032871102891335,-0.2159402133910406,0.37720057341834423,-0.0044945115858975315,0.24196040776833722,-0.05022800843401487,-0.18566422842587899,-0.0019785742149539542,0.13206341964337764,-0.11697505155182039,-0.22890025514418477,-0.9046599862573235,0.9766412964044299,0.3384001513135607,-0.6914726409912472
11,subgenre-current,novela romántica,other,100,4gram_chars_word,zscore,1,1.0,0.11259067708550585,0.882265120326478,0.44982843351915625,-0.6862230384458039,-0.05247198422318489,0.2184290576932414,0.0033194492479682314,1.2172001848556544,0.8905931284341329,0.1940884009457493,-1.1154388225218788,0.22459070371512113,-0.37015009386981346,-0.6313309855804958,0.510054390700118,-1.193241282102945,0.4081854642246694,0.4723076385748348,0.29705595527609296,-0.5565405505327818,-0.49664038236106833,-0.6842860960976647,-0.8651855600780585,0.8066812197542181,0.03136433056266985,0.19194465235109281,-0.7479352807720052,-0.14085690621108093,-0.8498672950144357,1.3099482057188114,-0.3053980345736462,0.419242410135896,0.8145805265540076,1.6017189765821054,-0.8776758577544503,0.17511632091970242,-0.2563960552549316,-0.9868064365753596,1.2077903044033853,0.31267759123758365,-0.28953252710682253,0.15389676010178,-0.25233873783024796,-0.8946609917942178,0.036070985673218425,-0.6883729378184413,0.20196887506133265,-0.16671975250842364,-1.086158103978467,0.03675523432590455,-0.13312931081524138,0.17733522248871614,0.030742113934801196,0.2540787481360993,0.8727564989575067,-0.45307131197138895,0.03328492302676067,0.032719830571718456,0.6649670392383635,-0.794969355856068,-0.29271502910960767,-0.30210684027135537,0.1788732379386606,-0.2940081721372858,-0.7021585630097743,-0.0871633246587542,-1.0124052818473652,-0.047480621201378304,0.3817796284293338,-0.43710935970795983,0.45671031371700244,0.5144406601279277,-0.9774715903101541,-0.9673215875569727,-0.0761405755181872,0.015946643790671455,-0.4155082954389009,0.6017627462022666,0.5255650338856597,0.2017418547932026,-0.31724296690714915,1.2609339393400856,-0.16846784078390953,-0.6376341575262753,-0.6309190072262507,-0.030858981497506432,-0.05936512103282732,0.3312162457809942,0.14567131560637847,-0.04680432235050147,0.4048159756855103,-0.4321897250977249,0.19997285122160247,-0.0075961403740343325,-0.32998702187988704,-0.09019677494550393,-0.9740947516921328,1.0832319834552706,-0.15533662867986786,-0.87069737410623
12,subgenre-current,novela romántica,other,100,4gram_chars_word,zscore,1,2.0,-0.02897019307056725,0.37742710791125966,0.5602667310670779,-0.4200608165304622,-0.04067129088949922,0.536646268763096,-0.2054827109103009,1.1272134082502163,0.7180954929565031,0.32684449650665054,-1.3904457923745341,0.13788434046629455,-0.2523889210047637,-0.3721718457591069,0.3614884086611325,-1.1191596293207238,0.512764574227426,0.6199570144157864,0.2810709293513418,-0.6881592432686221,-0.3075740892982728,-0.8092241824610151,-0.9016751779133756,0.3213673076809356,-0.06942836784318718,0.1918767193406306,-0.6889306933578249,0.08649835945787304,-0.9581816449230794,1.0306819062194943,-0.28181409105180444,0.7329267346005028,0.6807397495579408,1.7472429293338574,-0.6121727907291358,-0.3876920796713591,-0.21443271102218509,-0.9800357994491884,0.6967327812567647,0.37931517534359394,-0.2817211554754626,0.007527625993534959,-0.22974387056563217,-0.8717373292439774,-0.05420108123123912,-0.47092162109055913,0.3624278351707524,-0.4865500260593268,-0.9547910936427911,-0.07378319039344777,-0.19058579824589894,-0.09770629050374396,0.09798617800283618,0.6759328410730162,0.43599425067144326,-0.30970037939529327,0.49665087078245734,-0.35245509093543925,0.368190865301801,-0.6969815833386537,-0.4525882852061943,0.08152867042837941,0.16203955296868955,-0.40027876183515537,-1.000640057538755,-0.1331710679290925,-0.9590161231813502,-0.12318511524575149,0.43878143314670004,-0.42117216022734244,0.3321225892388571,0.600610351183924,-0.8897542503100746,-1.0162966301440701,0.03193136043009903,-0.2558428750613885,-0.3049575515656829,0.6893806864338197,0.41872261872852484,0.2675292948874708,-0.22528858019996567,1.0987484182709961,-0.08808666547296051,-0.4625068363086047,-0.6057146146542323,0.054707316368668046,-0.09295522163028816,0.11805831817581014,-0.32634354376026553,-0.0644645975207328,-0.036483480181396355,-0.06548001005468634,0.22703712345445548,0.04969130755919293,-0.07582643269917841,-0.3133463973148598,-0.7110660021763515,0.6874675627329121,0.14732780345484983,-0.747825591794443
13,subgenre-current,novela romántica,other,100,4gram_chars_word,zscore,1,3.0,0.3651564968735106,0.43953324303763397,0.5068137800359529,-0.44858419080208306,0.11542014433227071,0.28276178362526383,-0.13976520716372337,1.7162544107384383,0.9306584796223254,0.28258987749228837,-1.2098867729092382,0.24676330056896972,-0.20649927532059514,-0.43804332679359903,0.28349899842984083,-1.1578773589737215,0.5644740953209973,0.6401425701682618,0.24607360245956494,-0.7450626986091604,-0.35981535319624036,-0.9965712518840488,-0.7157344384921542,0.5389484339584787,0.1585151283657743,0.16851782056552195,-0.7900867899270881,-0.2977506706709,-0.6076354664119584,0.8322468847468798,-0.351863902401793,0.7109952777299777,0.7844675573486896,1.5306804436330426,-0.7463813307000418,-0.17179066116367644,-0.24087994711660365,-0.9525846461214309,0.661949724930094,0.5108770901282491,-0.30164589340803044,0.006791612165133132,-0.3737092023020102,-1.173095810483533,0.11732950047446633,-0.9726537974488534,0.22739716296282408,-0.0635771278143396,-0.8949210607631343,-0.17171015884394114,-0.07123114482134452,0.3056267005304277,-0.15294704781784693,0.7766242125888926,0.48801254323437016,-0.45517536073117726,0.38090744899698153,0.019254388902854136,0.5617849957380191,-0.5610222245580412,-0.1825754690545811,0.02642637125039149,0.23119783809085415,-0.4797265142093206,-0.7962163648085956,-0.20872781300920806,-0.6027470539392107,-0.2529444072269359,0.4422255409730831,-0.32171236735949443,0.32795341162147157,0.286937530440304,-0.5015665175338992,-0.9745964120395714,-0.004719152331282395,-0.03802459090399421,-0.294153680860257,0.5289602859353816,0.39579043635099515,0.010173120272521263,-0.29073286855474684,1.2681330217877043,-0.0995938821083544,-0.5911825130234387,-0.6960971537244629,0.14975630371924198,-0.2126510045200705,0.2957193058664037,-0.29366924792279525,-0.23238785092912312,-0.12145577329063939,-0.3093927284995997,0.07312300447912168,-0.20368162592440453,-0.3500892078768888,-0.18173152523012592,-0.8950568453760339,0.9459531352957157,-0.0014648827402445053,-1.0983244122585656
14,subgenre-current,novela romántica,other,100,4gram_chars_word,zscore,1,4.0,0.3721683914828944,0.8044878181797444,0.4257881500549332,-0.6477595099586915,-0.14036938415265138,0.35570904344153687,-0.06265533181684385,1.1338636367316226,0.6647449819182618,0.13932523396320007,-1.1675909503200452,0.10006192528837249,-0.4151921405668934,-0.475271285190478,0.5744098403879478,-0.9256534362220852,0.515345247047244,0.7542138178635048,0.34417996532723333,-0.6583646573750626,-0.5764798080703716,-0.8975238556819907,-0.8261078844515726,0.6688345114874892,0.23511568235998637,0.1995252806592806,-0.6610869123918365,-0.15061492978801272,-0.9139030959654514,0.9434059965789179,-0.19012073474472968,0.9040771409807451,0.7666893081201133,1.368687974143621,-0.9917300000275515,0.002510780326143852,-0.11905390123150528,-1.073011737522986,0.5418468695178726,0.6753064707881815,-0.15411665649938838,0.12331551606250668,-0.19145902054627728,-0.9625160640765913,-0.07157528218727316,-0.6927712309653362,0.34094152588450755,-0.46146430773655217,-0.7396923735052289,-0.030390132448950502,-0.24174391891540792,0.1204855846582949,-0.06840196638324245,0.45736286267313353,0.6636277222331922,-0.5328719184565882,0.3393238247837334,-0.015310110665746168,0.7108742663540816,-0.7456793472677219,-0.4486139394940938,-0.04197633917186916,0.5134463696654141,-0.31041409190637387,-0.6512982342138829,-0.020158197213187568,-0.8236271905699387,-0.1132814060346955,0.42939188425851604,-0.6140376670815235,0.25785475999687607,0.5071496488405768,-0.5547516065719273,-0.9201401081914222,0.03594089294759795,0.06441202974217733,-0.17696133078600168,0.603034750070122,0.22467302598684386,0.04003169626757053,-0.06592758348544309,1.108804292673074,-0.04854230035268148,-0.7232229440584494,-0.7313170685141159,0.14488191424798313,-0.13779625901106154,0.2103892072328707,-0.07634243236595062,0.15494290634115532,-0.16875995880551653,-0.3626021733611409,-0.09021940501742987,-0.000481090749054669,-0.14416018766089808,-0.4609722791689601,-0.7495412123890746,0.9548649284264024,-0.044248763478457326,-0.9033007756686566
15,subgenre-current,novela romántica,other,100,4gram_chars_word,zscore,1,5.0,0.28257094867157306,0.6790163591133531,0.5418605865545714,-0.5431589312420224,0.01439540281957613,0.2836610218174712,-0.1571849560168554,1.3652197667324077,0.8382981459847247,0.29043880606103517,-0.9780846067340356,0.13868897442758082,-0.38340441494789107,-0.49052515902725946,0.5381678241172103,-1.14960573591505,0.4345270071895775,0.8273128831929543,0.36186380454118,-0.7753944822947256,-0.41054182182434573,-1.1453868350058543,-0.8456509681895066,0.6432604887209571,0.02355228185958269,0.35685935280603825,-0.8833013959193853,-0.10354815190683081,-1.0242338793295436,1.0497943876789642,-0.36734069364298894,0.7255180497935603,0.8503265170372092,1.4144580417323942,-0.7994101565391791,0.0067739235392136055,-0.048253267521186416,-0.9606941624973191,0.8665332309054863,0.6217130196600744,-0.28807772112691166,-0.15324637388603413,-0.09297062843712445,-0.9022358877893375,-0.002118141061073664,-0.4994120336121679,0.4281873479468169,-0.3808478437843474,-1.0605529215130187,-0.03928070071390205,-0.20367169959307474,0.2215042832521928,-0.06582128077550717,0.4581200587683417,0.6200471667187656,-0.6233404190060163,0.34257280824843744,0.05970845234118449,0.7799034515792337,-0.6561019977613138,-0.35022547450672703,-0.07573506632407334,0.11993865959172156,-0.3180157306382673,-0.8944929653350784,0.000579471178168367,-0.9369013440667379,-0.24301948983203403,0.347393574956252,-0.7016383487057467,0.34816294941585396,0.6702504404900234,-0.6598754019523381,-0.9242891618019184,-0.0012031811577707385,-0.02508956672181753,-0.2966589396663087,0.4318132206672286,0.5740728092542506,-0.1678787520682774,-0.399421902949843,1.1216269224372373,-0.057521687422614654,-0.5838692462268991,-0.47657137793647264,0.316510199042039,-0.2542071033507972,0.16292321374485408,0.011258016765560264,0.02543958348812786,0.12488774486162046,-0.10035972887092165,-0.2526395467905471,0.21705881052927434,-0.2417096458800488,-0.23730856262332867,-0.9173321334915692,0.961552125795276,0.03880404996216211,-0.921627502459345
16,subgenre-current,novela romántica,other,100,4gram_chars_word,zscore,1,6.0,0.024880418278826033,0.8808206771896979,0.3700508434468883,-0.4458560242975093,-0.04271545904347557,0.369316286101394,-0.0915739260879131,0.9927233502386399,0.9956312207181235,0.08373273791182423,-1.1856241884505205,0.3292350472504772,-0.5264946204334979,-0.4765100923579053,0.5681407714004243,-1.1114554719373642,0.4585395238174774,0.31833433915931303,0.16673689392398344,-0.6572297850799957,-0.5039138320826595,-1.038757051667176,-0.6269083465036045,0.9530610394678038,0.08026183848268653,-0.0092636184369706,-0.7703460600921878,-0.24308126306396527,-1.012418283240303,0.9726580205839421,-0.14111977792585428,0.8377564338321168,0.974789636374029,1.581219669669548,-0.7926409226558395,-0.09479165984508928,-0.18260966138318513,-1.0853949016105728,0.6634919570912932,0.4508429909264157,-0.32015615036029926,-0.015166288871960254,-0.45912197590148784,-0.8166165146574336,-0.11415289264699402,-0.5648035834886431,0.3209656732341042,-0.26115605161209293,-0.8431477471901542,-0.20573026341953715,-0.2782003876988173,0.43099508205173237,0.13805371722318302,1.1191395125557855,0.35294020166989826,-0.39965184302193835,0.21823843834099432,-0.09992344214893512,0.7043336708474789,-0.6417402452464647,-0.5884935055677176,-0.08161280619050493,0.4137670969681677,-0.2767329621306131,-0.6531169413347226,-0.06762982573943632,-1.0436178150676865,-0.21788709224737224,0.41231496348853025,-0.4996878611369033,0.411734268858853,0.5416589658706342,-0.6696164357425554,-0.964966675983985,-0.04599977543998163,0.11481743038128742,-0.3397522549199779,0.7392867592969433,1.0219961137386904,-0.2876975400618821,-0.3293191156858451,1.138970464169521,-0.09773566015593049,-0.45525905532487254,-0.5689347562171854,0.10765223021729603,-0.24381171449157393,0.3302374477109446,0.06127870325958529,-0.3070004922090051,-0.5001030231730178,-0.0848411829865438,-0.029908244094656755,0.07056055288822383,-0.21651905129338064,-0.413927307060876,-0.7570734355303368,0.9119510335353725,0.23799825418201723,-1.061868841569839
17,subgenre-current,novela romántica,other,100,4gram_chars_word,zscore,1,7.0,0.45535894478754124,0.9271849431831798,0.541377462881901,-0.463629294031723,0.03595358639468049,0.06024974955392376,-0.33894421841370787,1.1390425478269743,0.696188799499605,0.13041970577917766,-1.2841497155027795,0.05562577747566749,-0.25668954418619555,-0.5864293034327728,0.23886748730578294,-1.0414654063832895,0.45078396166365403,0.6179602400914104,0.43126732577980803,-0.5897898418918437,-0.5955631845412594,-0.5329992489513269,-0.681754367960554,0.5093447886929424,0.06451868577550879,0.13108052085027982,-0.872189245090767,-0.25108307904690974,-0.9695001221554568,0.8309139088365098,-0.10699589910518081,0.7179234940105215,0.606218235984795,1.3041791098458018,-0.6908251763654142,-0.08585447599168985,-0.0917148281805068,-0.9699438473223252,0.6899957773413536,0.5951120762751568,0.054985611647251464,-0.05981612513485679,-0.1425026684067337,-0.8464082247709104,0.16826319051101746,-0.7858567299009591,0.21383827776301334,-0.3541552365881165,-0.9610075007420554,-0.20723978520051778,0.03174688449922425,0.18963437712459036,0.46885508772785023,0.5409020290799824,0.7241933678488288,-0.3682018167000023,0.21483180095222737,-0.014863396061872591,0.269464273708823,-0.47899639325554033,-0.4088200350690464,0.18055483084920043,0.28323675041277163,-0.08822025054762112,-0.6817096044725779,0.09308400253999793,-0.9645879775201042,-0.3160366817157605,0.12539313379245742,-0.7209383568033585,0.25808626352819664,0.2983030356211675,-0.6359058867686491,-1.1546537919627897,-0.04969723855805075,-0.07699777411709877,-0.2760660887664866,0.7260409678919477,0.6336246202445189,-0.19695021467393325,-0.5460390283445598,1.1352767383643787,-0.11386006475385613,-0.7325894290006569,-0.3719338794546745,0.08761932653960747,-0.26949897037225323,0.16283411333822406,-0.05580423451057115,-0.04471454203895481,-0.08521666682473594,-0.3214986517036515,-0.23681513919818464,0.1823465568110807,-0.235728620131702,-0.02174370808402948,-0.5911443229460926,0.8414036868019741,-0.018072496056577986,-0.7524688166721116
18,subgenre-current,novela romántica,other,100,4gram_chars_word,zscore,1,8.0,0.21281446172121665,0.9824968305538262,0.6482494448217737,-0.6747857775485029,-0.12863164147226053,0.19479688980615384,-0.1020174931009245,1.2392743619744384,0.48788813048198415,0.4460355287408757,-0.9486322951315069,0.34224986423699566,-0.5102747371361036,-0.9251682244921684,0.5075239234693705,-0.8636014667457164,0.2946202012324024,0.6717967082937354,0.4168887354711828,-0.7029535623694405,-0.255842191519295,-0.756813828988461,-0.5796866446355218,0.2078946941451904,-0.021337396992216706,0.4744992831282718,-0.679285570740331,-0.06717995035439284,-1.310593986675919,1.2438475173203518,-0.30013367406519664,1.2239851567079953,0.5511314264556026,1.5259271399480276,-0.7790854319021767,-0.1352156057177155,-0.051564568556909385,-0.8578386146879511,0.7962531530450194,0.5990252142698664,-0.4206771287124989,0.1430385473280591,-0.21211904565701156,-1.0318436521832954,0.15083182714728272,-0.6716663488544719,0.38985903560866675,-0.2046863368074972,-0.6989419967203611,-0.17229939189869015,0.030132512406816248,0.012653199913747637,-0.03027112735217871,0.02931608618228365,0.37173915046379846,-0.5748455003136694,-0.17060663143359622,0.030432659689841768,0.420314397310407,-0.7124027587675468,-0.29293482392371917,-0.18637402139668446,0.3926764886384868,-0.34668050380455734,-0.5729982412158137,-0.4184147864277957,-0.641309459596071,-0.13396377162629625,0.1767516004869334,-0.9126824808398217,0.32600202357423286,0.12976423729172237,-0.8030116663055651,-0.7734516114331085,-0.1868979960918281,0.29474073727989664,-0.4824992050191402,0.4948202711361564,0.5667240810358538,0.013388284627878888,-0.1766569835356842,0.9074025976471469,-0.2660114753920717,-0.7088206116455089,-0.2165653635616981,0.5638242789651005,-0.423411013030481,0.4374366921106724,-0.05630131947588357,-0.4531829383843184,0.25138322261682755,0.21339931047068755,-0.01778134515371166,0.1931060042894338,-0.15940197514164703,-0.8039823998602398,-0.53690245578683,1.1925730518673074,-0.11876409851422567,-0.9778645906109944
19,subgenre-current,novela romántica,other,100,4gram_chars_word,zscore,1,9.0,0.16562632815249279,0.6979989577549106,0.22112586187004468,-0.2985665909464341,0.3126418872553185,0.36312687843578395,-0.17127980445264712,1.2336792297771217,0.7570752307889956,0.4928791826571288,-1.1546379342865443,0.14952387769760533,-0.0792905368427701,-0.36910958787483095,0.586670290550144,-1.026838320428816,0.3763610151566954,0.8293302620320671,0.39329569288585375,-0.9609451727809173,-0.48544509317670825,-1.054292605788448,-0.8594893637063807,0.6250980734649225,0.07230800787982083,-0.01684556039328955,-0.7687568044758604,-0.20543831888026776,-1.4066935653842565,0.9970000906210783,-0.34056491535686373,1.0555074257298285,0.3812454493998483,1.3908555574684676,-0.6827890131229593,0.1736640096760491,-0.5581908734477332,-1.0125389669465372,0.6548079318713884,0.4958869119781375,-0.17695318883053224,-0.027544778407877946,-0.3136292746598077,-0.6863925998100191,-0.07870198381580229,-0.7541467514068607,0.1818609165061016,-0.22543773204905238,-0.6333445403771487,-0.31656752527857535,-0.2763676804200299,0.1854143989564312,-0.27995412774394124,0.4222273321202388,0.4642610073627569,-0.517054173617741,0.4722709953898301,0.06975850293968278,-0.09930699031993329,-0.6844047779228104,-0.2955122327962112,-0.20067961223064712,0.3533604592101216,-0.11168427929572267,-0.24489167331709738,0.08497173258263269,-0.5130238763489416,-0.48269969047902217,-0.04139274646017155,-0.20557697652920792,0.36114179146616676,0.4985731755093741,-0.45808389225986534,-0.7598596800096911,-0.07822869208730232,0.5217551342325435,-0.40588957102228274,0.9276731610611431,0.27230742883752623,0.10624397054868617,-0.19907574733512745,0.7268882414325075,-0.10879795338219767,-0.6294311038809215,-0.38456230949065073,0.2917526991707382,-0.1676943645425617,0.16870406289030604,-0.12016393121682456,0.17025070512090323,-0.2564013354409156,-0.547667435886086,-0.021740705700671326,0.4076416614927263,0.06864044637630373,0.001527501872311765,-0.7725826519448782,1.193350525187866,0.5009869918463976,-0.7641663575248256
20,subgenre-current,novela romántica,other,100,4gram_chars_word,zscore,2,0.0,0.26103748535030924,0.5841170138726102,0.22421092473164483,-0.6506536262841869,0.012833833237160974,0.21250771143865466,-0.345828133343103,1.5153298382302192,0.7526362283941836,0.26250951966236546,-1.0180259361853736,0.108845597584797,-0.1731760069555281,-0.2616858546807056,0.364743218820859,-1.1515346270899298,0.47207632851225223,0.762997465297265,0.500672098328915,-0.9159030251323792,-0.34339302997879406,-0.8666960185166097,-1.0866175656415562,0.7148335888212181,0.021235251028233093,-0.20190200406938236,-0.6938535623474861,-0.17872418271000134,-1.1265920258923492,0.893145351957463,-0.38389976287104843,1.1776497603396607,0.8587547912692902,1.5698328607144731,-0.5999379923699246,-0.2967244458483841,0.09431562274445282,-1.099288123924789,0.7834867713925249,0.3811387195911566,-0.3168134977527491,-0.1594953275614931,-0.24293651782852865,-0.7147617191205691,0.16116072566849737,-0.5731813982561214,-0.12191388237238698,-0.24038261801265054,-0.9252960221513972,-0.18242363968990816,-0.06649194662224078,0.14404198796171724,0.12062293585804221,0.6447972601914324,0.40581608181369877,-0.33819748723985477,0.3480908702849846,-0.009441512853385459,0.3101236208705348,-0.6384275992279438,-0.34029500058334605,0.08182517928931865,0.13689680570582108,-0.43497725048370534,-0.41313628820832443,-0.16698203250810106,-0.7993858640975563,-0.08627407230998807,0.5252182575905083,-0.6216256334864785,0.16605497185687174,0.12323765318985813,-0.7963687273337807,-0.8439053471766953,-0.051294296354805646,0.07218345940410711,-0.29022097162197286,0.6637179165353294,0.46928266406561575,-0.12546275964866704,-0.49883392349292516,1.132173968243254,-0.11974636706422626,-0.445405236862363,-0.7442031046677933,0.043032871102891335,-0.2159402133910406,0.37720057341834423,-0.0044945115858975315,0.24196040776833722,-0.05022800843401487,-0.18566422842587899,-0.0019785742149539542,0.13206341964337764,-0.11697505155182039,-0.22890025514418477,-0.9046599862573235,0.9766412964044299,0.3384001513135607,-0.6914726409912472
21,subgenre-current,novela romántica,other,100,4gram_chars_word,zscore,2,1.0,0.11259067708550585,0.882265120326478,0.44982843351915625,-0.6862230384458039,-0.05247198422318489,0.2184290576932414,0.0033194492479682314,1.2172001848556544,0.8905931284341329,0.1940884009457493,-1.1154388225218788,0.22459070371512113,-0.37015009386981346,-0.6313309855804958,0.510054390700118,-1.193241282102945,0.4081854642246694,0.4723076385748348,0.29705595527609296,-0.5565405505327818,-0.49664038236106833,-0.6842860960976647,-0.8651855600780585,0.8066812197542181,0.03136433056266985,0.19194465235109281,-0.7479352807720052,-0.14085690621108093,-0.8498672950144357,1.3099482057188114,-0.3053980345736462,0.419242410135896,0.8145805265540076,1.6017189765821054,-0.8776758577544503,0.17511632091970242,-0.2563960552549316,-0.9868064365753596,1.2077903044033853,0.31267759123758365,-0.28953252710682253,0.15389676010178,-0.25233873783024796,-0.8946609917942178,0.036070985673218425,-0.6883729378184413,0.20196887506133265,-0.16671975250842364,-1.086158103978467,0.03675523432590455,-0.13312931081524138,0.17733522248871614,0.030742113934801196,0.2540787481360993,0.8727564989575067,-0.45307131197138895,0.03328492302676067,0.032719830571718456,0.6649670392383635,-0.794969355856068,-0.29271502910960767,-0.30210684027135537,0.1788732379386606,-0.2940081721372858,-0.7021585630097743,-0.0871633246587542,-1.0124052818473652,-0.047480621201378304,0.3817796284293338,-0.43710935970795983,0.45671031371700244,0.5144406601279277,-0.9774715903101541,-0.9673215875569727,-0.0761405755181872,0.015946643790671455,-0.4155082954389009,0.6017627462022666,0.5255650338856597,0.2017418547932026,-0.31724296690714915,1.2609339393400856,-0.16846784078390953,-0.6376341575262753,-0.6309190072262507,-0.030858981497506432,-0.05936512103282732,0.3312162457809942,0.14567131560637847,-0.04680432235050147,0.4048159756855103,-0.4321897250977249,0.19997285122160247,-0.0075961403740343325,-0.32998702187988704,-0.09019677494550393,-0.9740947516921328,1.0832319834552706,-0.15533662867986786,-0.87069737410623
